ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran,Kategori_Encoded,Metode_Pembayaran_Encoded,Bulan Transaksi,Tahun Transaksi
TX-20240705-001,2024-07-05,EzyDog Chest Plate Harness for Dogs,Aksesoris,15,130000,1950000,Transfer,0,1,7,2024
TX-20241101-001,2024-11-01,Life Cat Pouch - Chicken Adult,Makanan,10,130000,1300000,Tunai,2,2,11,2024
TX-20241101-002,2024-11-01,EzyDog Chest Plate Harness for Dogs,Aksesoris,4,4435,17740,Transfer,0,1,11,2024
TX-20241110-001,2024-11-10,Life Cat Pouch Dus,Makanan,6,55833,334998,Transfer,2,1,11,2024
TX-20240220-001,2024-02-20,Nutri-Vet Multivitamin Chewable,Obat Hewan,5,250000,1250000,Transfer,3,1,2,2024
TX-20240322-001,2024-03-22,Life Cat Can - Tuna,Makanan,11,4435,48785,Tunai,2,2,3,2024
TX-20240101-001,2024-01-01,Trixie Cat Laser Pointer,Mainan,12,4435,53220,Transfer,1,1,1,2024
TX-20240910-001,2024-09-10,Life Cat Can - Tuna,Makanan,3,55833,167499,QRIS,2,0,9,2024
TX-20241017-001,2024-10-17,EzyDog Chest Plate Harness for Dogs,Aksesoris,9,55833,502497,Transfer,0,1,10,2024
TX-20240301-001,2024-03-01,EzyDog Chest Plate Harness for Dogs,Aksesoris,11,12024,132264,Tunai,0,2,3,2024
TX-20240729-001,2024-07-29,Life Cat Can - Kitten Tuna,Makanan,13,12024,156312,Transfer,2,1,7,2024
TX-20240417-001,2024-04-17,Life Cat Pouch - Kitten Tuna,Makanan,18,4435,79830,Tunai,2,2,4,2024
TX-20240328-001,2024-03-28,EzyDog Chest Plate Harness for Dogs,Aksesoris,6,55833,334998,Tunai,0,2,3,2024
TX-20240417-002,2024-04-17,Life Cat Can - Tuna,Makanan,4,130000,520000,Transfer,2,1,4,2024
TX-20241022-001,2024-10-22,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,1,12024,12024,Transfer,3,1,10,2024
TX-20240116-001,2024-01-16,Life Cat Pouch Dus,Makanan,12,130000,1560000,Transfer,2,1,1,2024
TX-20240928-001,2024-09-28,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,14,130000,1820000,Tunai,3,2,9,2024
TX-20240708-001,2024-07-08,Drontal Cat Dewormer,Obat Hewan,17,4435,75395,QRIS,3,0,7,2024
TX-20240211-001,2024-02-11,Nutri-Vet Multivitamin Chewable,Obat Hewan,8,130000,1040000,Tunai,3,2,2,2024
TX-20240626-001,2024-06-26,Life Cat Pouch - Kitten Salmon,Makanan,8,4435,35480,Tunai,2,2,6,2024
TX-20241017-002,2024-10-17,Trixie Cat Tunnel,Mainan,5,4435,22175,QRIS,1,0,10,2024
TX-20240710-001,2024-07-10,Kong Classic Dog Chew Toy,Mainan,18,4435,79830,Transfer,1,1,7,2024
TX-20240218-001,2024-02-18,Rogz Utility Dog Leash - Medium,Aksesoris,12,50000,600000,Transfer,0,1,2,2024
TX-20240721-001,2024-07-21,Seresto Flea and Tick Collar for Dogs,Obat Hewan,8,50000,400000,Tunai,3,2,7,2024
TX-20240207-001,2024-02-07,Trixie Cat Tunnel,Mainan,2,250000,500000,Transfer,1,1,2,2024
TX-20240112-001,2024-01-12,Kong Puppy Teething Stick,Mainan,3,250000,750000,Transfer,1,1,1,2024
TX-20240917-001,2024-09-17,Kong Puppy Teething Stick,Mainan,11,4435,48785,Transfer,1,1,9,2024
TX-20240913-001,2024-09-13,Nutri-Vet Multivitamin Chewable,Obat Hewan,3,55833,167499,Tunai,3,2,9,2024
TX-20241101-003,2024-11-01,Frontline Plus Flea & Tick Treatment,Obat Hewan,8,130000,1040000,QRIS,3,0,11,2024
TX-20240204-001,2024-02-04,Life Cat Pouch - Chicken Tuna Adult,Makanan,19,12024,228456,QRIS,2,0,2,2024
TX-20240219-001,2024-02-19,Life Cat Pouch - Salmon Adult,Makanan,11,50000,550000,Transfer,2,1,2,2024
TX-20240529-001,2024-05-29,Life Cat Can - Tuna,Makanan,10,55833,558330,QRIS,2,0,5,2024
TX-20240519-001,2024-05-19,Trixie Cat Tunnel,Mainan,6,4435,26610,QRIS,1,0,5,2024
TX-20240104-001,2024-01-04,Trixie Cat Laser Pointer,Mainan,12,130000,1560000,QRIS,1,0,1,2024
TX-20240205-001,2024-02-05,Life Cat Pouch - Kitten Tuna,Makanan,8,12024,96192,Transfer,2,1,2,2024
TX-20240329-001,2024-03-29,Life Cat Tofu - Macha,Makanan,6,50000,300000,QRIS,2,0,3,2024
TX-20240610-001,2024-06-10,Drontal Cat Dewormer,Obat Hewan,2,4435,8870,QRIS,3,0,6,2024
TX-20240102-001,2024-01-02,Life Cat Can - Kitten Tuna,Makanan,7,50000,350000,Transfer,2,1,1,2024
TX-20240715-001,2024-07-15,Life Cat Can - Kitten Salmon,Makanan,1,50000,50000,Tunai,2,2,7,2024
TX-20240405-001,2024-04-05,Life Cat Can - Kitten Tuna,Makanan,3,50000,150000,Transfer,2,1,4,2024
TX-20240614-001,2024-06-14,Life Cat Tofu - Mango,Makanan,3,50000,150000,QRIS,2,0,6,2024
TX-20240524-001,2024-05-24,Life Cat Pouch - Chicken Adult,Makanan,17,130000,2210000,QRIS,2,0,5,2024
TX-20240311-002,2024-03-11,Life Cat Pouch - Kitten Chicken,Makanan,9,50000,450000,QRIS,2,0,3,2024
TX-20240515-001,2024-05-15,Kong Classic Dog Chew Toy,Mainan,18,4435,79830,QRIS,1,0,5,2024
TX-20240801-003,2024-08-01,Life Cat Pouch - Chicken Tuna Adult,Makanan,17,50000,850000,Tunai,2,2,8,2024
TX-20240812-002,2024-08-12,Life Cat Can - Tuna,Makanan,18,50000,900000,QRIS,2,0,8,2024
TX-20240911-001,2024-09-11,Kong Classic Dog Chew Toy,Mainan,11,50000,550000,Transfer,1,1,9,2024
TX-20240320-001,2024-03-20,Life Cat Pouch - Kitten Salmon,Makanan,4,4435,17740,Transfer,2,1,3,2024
TX-20240213-001,2024-02-13,EzyDog Chest Plate Harness for Dogs,Aksesoris,9,130000,1170000,Tunai,0,2,2,2024
TX-20240707-002,2024-07-07,Life Cat Pouch - Kitten Tuna,Makanan,3,12024,36072,Tunai,2,2,7,2024
TX-20240410-001,2024-04-10,Trixie Cat Scratching Post,Mainan,17,50000,850000,Transfer,1,1,4,2024
TX-20240213-002,2024-02-13,Rogz Utility Dog Leash - Medium,Aksesoris,13,50000,650000,Transfer,0,1,2,2024
TX-20240805-001,2024-08-05,Life Cat Pouch - Kitten Chicken,Makanan,17,130000,2210000,Transfer,2,1,8,2024
TX-20240316-001,2024-03-16,Kong Classic Dog Chew Toy,Mainan,16,12024,192384,Transfer,1,1,3,2024
TX-20240210-001,2024-02-10,Life Cat Can - Chicken,Makanan,3,4435,13305,QRIS,2,0,2,2024
TX-20240128-001,2024-01-28,Life Cat Can - Kitten Tuna,Makanan,2,130000,260000,Transfer,2,1,1,2024
TX-20240401-001,2024-04-01,Nutri-Vet Multivitamin Chewable,Obat Hewan,3,55833,167499,Transfer,3,1,4,2024
TX-20240528-001,2024-05-28,Kong Puppy Teething Stick,Mainan,11,50000,550000,Transfer,1,1,5,2024
TX-20240602-001,2024-06-02,Life Cat Tofu - Macha,Makanan,13,12024,156312,Transfer,2,1,6,2024
TX-20240304-001,2024-03-04,Life Cat Can - Chicken,Makanan,8,55833,446664,Transfer,2,1,3,2024
TX-20240214-001,2024-02-14,Drontal Cat Dewormer,Obat Hewan,10,50000,500000,QRIS,3,0,2,2024
TX-20240929-001,2024-09-29,Drontal Cat Dewormer,Obat Hewan,8,50000,400000,Transfer,3,1,9,2024
TX-20240816-001,2024-08-16,Life Cat Pouch Dus,Makanan,4,250000,1000000,QRIS,2,0,8,2024
TX-20241006-002,2024-10-06,Life Cat Can - Chicken,Makanan,13,130000,1690000,Tunai,2,2,10,2024
TX-20240731-003,2024-07-31,Drontal Cat Dewormer,Obat Hewan,15,130000,1950000,Transfer,3,1,7,2024
TX-20240901-001,2024-09-01,Kong Classic Dog Chew Toy,Mainan,12,12024,144288,Tunai,1,2,9,2024
TX-20241117-001,2024-11-17,Kong Puppy Teething Stick,Mainan,10,55833,558330,Transfer,1,1,11,2024
TX-20240820-002,2024-08-20,Life Cat Pouch Dus,Makanan,16,4435,70960,Tunai,2,2,8,2024
TX-20240602-002,2024-06-02,Life Cat Pouch - Chicken Adult,Makanan,1,4435,4435,Tunai,2,2,6,2024
TX-20240615-001,2024-06-15,Life Cat Pouch - Kitten Salmon,Makanan,15,4435,66525,Tunai,2,2,6,2024
TX-20240629-001,2024-06-29,Life Cat Can - Kitten Salmon,Makanan,18,12024,216432,Tunai,2,2,6,2024
TX-20241023-001,2024-10-23,Seresto Flea and Tick Collar for Dogs,Obat Hewan,14,4435,62090,Tunai,3,2,10,2024
TX-20240928-002,2024-09-28,Kong Puppy Teething Stick,Mainan,6,50000,300000,Transfer,1,1,9,2024
TX-20240314-001,2024-03-14,Rogz Utility Dog Leash - Medium,Aksesoris,15,12024,180360,Transfer,0,1,3,2024
TX-20241106-001,2024-11-06,Seresto Flea and Tick Collar for Dogs,Obat Hewan,1,50000,50000,Tunai,3,2,11,2024
TX-20240603-001,2024-06-03,Life Cat Can - Tuna,Makanan,1,130000,130000,Tunai,2,2,6,2024
TX-20240215-001,2024-02-15,Seresto Flea and Tick Collar for Dogs,Obat Hewan,9,55833,502497,QRIS,3,0,2,2024
TX-20241015-001,2024-10-15,Nutri-Vet Multivitamin Chewable,Obat Hewan,5,50000,250000,Transfer,3,1,10,2024
TX-20240709-001,2024-07-09,Nutri-Vet Multivitamin Chewable,Obat Hewan,10,50000,500000,QRIS,3,0,7,2024
TX-20240617-001,2024-06-17,Life Cat Tofu - Macha,Makanan,13,12024,156312,Tunai,2,2,6,2024
TX-20240624-001,2024-06-24,Life Cat Tofu - Mango,Makanan,1,130000,130000,QRIS,2,0,6,2024
TX-20240621-001,2024-06-21,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,15,55833,837495,Tunai,3,2,6,2024
TX-20240811-001,2024-08-11,Life Cat Pouch - Kitten Salmon,Makanan,5,50000,250000,Transfer,2,1,8,2024
TX-20240225-001,2024-02-25,Frontline Plus Flea & Tick Treatment,Obat Hewan,5,4435,22175,Transfer,3,1,2,2024
TX-20240314-002,2024-03-14,Trixie Cat Scratching Post,Mainan,15,55833,837495,QRIS,1,0,3,2024
TX-20240610-002,2024-06-10,Rogz Utility Dog Leash - Medium,Aksesoris,3,50000,150000,Tunai,0,2,6,2024
TX-20240115-001,2024-01-15,Trixie Cat Tunnel,Mainan,15,50000,750000,QRIS,1,0,1,2024
TX-20240826-001,2024-08-26,Life Cat Can - Kitten Salmon,Makanan,14,50000,700000,Transfer,2,1,8,2024
TX-20240502-001,2024-05-02,Life Cat Pouch - Salmon Adult,Makanan,12,50000,600000,Transfer,2,1,5,2024
TX-20240106-001,2024-01-06,Life Cat Pouch - Kitten Chicken,Makanan,9,130000,1170000,Transfer,2,1,1,2024
TX-20240111-001,2024-01-11,Life Cat Pouch - Kitten Tuna,Makanan,10,4435,44350,QRIS,2,0,1,2024
TX-20240304-002,2024-03-04,Rogz Utility Dog Leash - Medium,Aksesoris,17,4435,75395,QRIS,0,0,3,2024
TX-20240321-001,2024-03-21,Life Cat Pouch - Salmon Adult,Makanan,2,50000,100000,Transfer,2,1,3,2024
TX-20240527-001,2024-05-27,Life Cat Can - Kitten Tuna,Makanan,16,130000,2080000,Tunai,2,2,5,2024
TX-20240115-002,2024-01-15,Trixie Cat Tunnel,Mainan,4,130000,520000,QRIS,1,0,1,2024
TX-20240610-003,2024-06-10,Life Cat Can - Tuna,Makanan,4,55833,223332,Transfer,2,1,6,2024
TX-20240518-002,2024-05-18,Life Cat Pouch Dus,Makanan,9,55833,502497,Tunai,2,2,5,2024
TX-20240420-001,2024-04-20,Trixie Cat Tunnel,Mainan,4,130000,520000,Tunai,1,2,4,2024
TX-20240613-003,2024-06-13,Life Cat Pouch - Kitten Salmon,Makanan,13,50000,650000,QRIS,2,0,6,2024
TX-20240513-001,2024-05-13,Trixie Cat Scratching Post,Mainan,2,130000,260000,Tunai,1,2,5,2024
TX-20241027-001,2024-10-27,Trixie Cat Laser Pointer,Mainan,4,12024,48096,Tunai,1,2,10,2024
TX-20241001-002,2024-10-01,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,13,50000,650000,Tunai,3,2,10,2024
TX-20240711-001,2024-07-11,Trixie Cat Scratching Post,Mainan,18,4435,79830,Tunai,1,2,7,2024
TX-20240930-001,2024-09-30,Life Cat Can - Kitten Salmon,Makanan,11,12024,132264,Transfer,2,1,9,2024
TX-20240410-002,2024-04-10,Trixie Cat Laser Pointer,Mainan,16,50000,800000,Tunai,1,2,4,2024
TX-20240205-002,2024-02-05,Life Cat Can - Tuna,Makanan,2,55833,111666,Transfer,2,1,2,2024
TX-20240109-002,2024-01-09,Life Cat Pouch - Kitten Salmon,Makanan,3,4435,13305,Transfer,2,1,1,2024
TX-20240121-001,2024-01-21,Life Cat Can - Kitten Tuna,Makanan,12,50000,600000,Tunai,2,2,1,2024
TX-20240516-001,2024-05-16,Life Cat Can - Chicken,Makanan,18,50000,900000,Tunai,2,2,5,2024
TX-20241112-002,2024-11-12,Drontal Cat Dewormer,Obat Hewan,6,55833,334998,Transfer,3,1,11,2024
TX-20240127-002,2024-01-27,Seresto Flea and Tick Collar for Dogs,Obat Hewan,14,50000,700000,QRIS,3,0,1,2024
TX-20240117-001,2024-01-17,Life Cat Pouch - Chicken Tuna Adult,Makanan,14,130000,1820000,Transfer,2,1,1,2024
TX-20241027-002,2024-10-27,Life Cat Pouch - Salmon Adult,Makanan,9,50000,450000,Tunai,2,2,10,2024
TX-20240704-001,2024-07-04,Life Cat Pouch Dus,Makanan,2,55833,111666,Transfer,2,1,7,2024
TX-20240127-003,2024-01-27,EzyDog Chest Plate Harness for Dogs,Aksesoris,7,4435,31045,Transfer,0,1,1,2024
TX-20240311-003,2024-03-11,Life Cat Can - Chicken,Makanan,8,12024,96192,Transfer,2,1,3,2024
TX-20240213-003,2024-02-13,Life Cat Pouch Dus,Makanan,7,55833,390831,Tunai,2,2,2,2024
TX-20240807-002,2024-08-07,Life Cat Pouch Dus,Makanan,7,50000,350000,Transfer,2,1,8,2024
TX-20240319-001,2024-03-19,Life Cat Can - Tuna,Makanan,4,12024,48096,Tunai,2,2,3,2024
TX-20241001-003,2024-10-01,Life Cat Pouch - Kitten Tuna,Makanan,18,50000,900000,Transfer,2,1,10,2024
TX-20241117-002,2024-11-17,Nutri-Vet Multivitamin Chewable,Obat Hewan,1,4435,4435,Transfer,3,1,11,2024
TX-20240424-002,2024-04-24,Life Cat Pouch - Kitten Salmon,Makanan,2,130000,260000,QRIS,2,0,4,2024
TX-20240421-002,2024-04-21,Rogz Utility Dog Leash - Medium,Aksesoris,4,12024,48096,Transfer,0,1,4,2024
TX-20240528-002,2024-05-28,Life Cat Tofu - Macha,Makanan,5,130000,650000,Transfer,2,1,5,2024
TX-20240928-003,2024-09-28,Life Cat Can - Kitten Salmon,Makanan,9,50000,450000,QRIS,2,0,9,2024
TX-20240804-001,2024-08-04,Life Cat Can - Chicken,Makanan,6,55833,334998,Transfer,2,1,8,2024
TX-20240723-001,2024-07-23,Life Cat Pouch - Kitten Chicken,Makanan,1,4435,4435,Transfer,2,1,7,2024
TX-20240128-002,2024-01-28,Trixie Cat Scratching Post,Mainan,18,55833,1004994,QRIS,1,0,1,2024
TX-20240216-001,2024-02-16,Life Cat Can - Kitten Salmon,Makanan,15,50000,750000,QRIS,2,0,2,2024
TX-20240718-001,2024-07-18,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,4,130000,520000,QRIS,3,0,7,2024
TX-20240826-002,2024-08-26,Life Cat Pouch - Kitten Tuna,Makanan,10,4435,44350,Transfer,2,1,8,2024
TX-20240626-002,2024-06-26,Trixie Cat Laser Pointer,Mainan,1,130000,130000,Transfer,1,1,6,2024
TX-20240326-001,2024-03-26,Kong Classic Dog Chew Toy,Mainan,8,12024,96192,Transfer,1,1,3,2024
TX-20240607-001,2024-06-07,Life Cat Pouch - Kitten Chicken,Makanan,8,4435,35480,Transfer,2,1,6,2024
TX-20240804-002,2024-08-04,Life Cat Can - Tuna,Makanan,19,12024,228456,Tunai,2,2,8,2024
TX-20240319-002,2024-03-19,Drontal Cat Dewormer,Obat Hewan,2,250000,500000,Tunai,3,2,3,2024
TX-20240726-001,2024-07-26,Kong Classic Dog Chew Toy,Mainan,16,4435,70960,Transfer,1,1,7,2024
TX-20240423-001,2024-04-23,Life Cat Pouch Dus,Makanan,11,130000,1430000,Transfer,2,1,4,2024
TX-20241010-002,2024-10-10,EzyDog Chest Plate Harness for Dogs,Aksesoris,18,12024,216432,Transfer,0,1,10,2024
TX-20240408-001,2024-04-08,Rogz Utility Dog Leash - Medium,Aksesoris,18,55833,1004994,QRIS,0,0,4,2024
TX-20241109-001,2024-11-09,EzyDog Chest Plate Harness for Dogs,Aksesoris,7,12024,84168,QRIS,0,0,11,2024
TX-20240430-001,2024-04-30,Trixie Cat Laser Pointer,Mainan,2,12024,24048,QRIS,1,0,4,2024
TX-20240807-003,2024-08-07,Life Cat Can - Kitten Tuna,Makanan,6,55833,334998,Tunai,2,2,8,2024
TX-20240521-001,2024-05-21,Life Cat Pouch - Kitten Salmon,Makanan,1,55833,55833,Transfer,2,1,5,2024
TX-20240531-002,2024-05-31,Trixie Cat Laser Pointer,Mainan,6,12024,72144,QRIS,1,0,5,2024
TX-20240913-002,2024-09-13,Life Cat Can - Kitten Salmon,Makanan,14,12024,168336,Transfer,2,1,9,2024
TX-20241005-001,2024-10-05,Life Cat Can - Tuna,Makanan,4,12024,48096,Transfer,2,1,10,2024
TX-20240430-002,2024-04-30,Life Cat Pouch - Chicken Adult,Makanan,8,4435,35480,Transfer,2,1,4,2024
TX-20240328-002,2024-03-28,Life Cat Pouch - Kitten Tuna,Makanan,17,4435,75395,Tunai,2,2,3,2024
TX-20240928-004,2024-09-28,Life Cat Tofu - Macha,Makanan,14,12024,168336,Transfer,2,1,9,2024
TX-20241106-003,2024-11-06,Life Cat Can - Tuna,Makanan,8,250000,2000000,Tunai,2,2,11,2024
TX-20240915-001,2024-09-15,Life Cat Pouch - Salmon Adult,Makanan,10,55833,558330,Tunai,2,2,9,2024
TX-20240929-002,2024-09-29,Kong Puppy Teething Stick,Mainan,18,55833,1004994,Tunai,1,2,9,2024
TX-20240426-001,2024-04-26,Kong Classic Dog Chew Toy,Mainan,3,12024,36072,QRIS,1,0,4,2024
TX-20241004-001,2024-10-04,Life Cat Can - Kitten Tuna,Makanan,15,130000,1950000,QRIS,2,0,10,2024
TX-20240422-001,2024-04-22,Life Cat Can - Chicken,Makanan,5,50000,250000,Transfer,2,1,4,2024
TX-20240801-004,2024-08-01,Trixie Cat Laser Pointer,Mainan,17,12024,204408,Tunai,1,2,8,2024
TX-20240521-002,2024-05-21,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,19,50000,950000,QRIS,3,0,5,2024
TX-20240607-002,2024-06-07,Life Cat Pouch - Chicken Tuna Adult,Makanan,5,130000,650000,Transfer,2,1,6,2024
TX-20240906-001,2024-09-06,Kong Puppy Teething Stick,Mainan,14,130000,1820000,QRIS,1,0,9,2024
TX-20240608-001,2024-06-08,Drontal Cat Dewormer,Obat Hewan,17,50000,850000,Tunai,3,2,6,2024
TX-20241020-001,2024-10-20,Life Cat Can - Kitten Salmon,Makanan,1,55833,55833,Tunai,2,2,10,2024
TX-20240309-001,2024-03-09,Trixie Cat Laser Pointer,Mainan,8,4435,35480,Transfer,1,1,3,2024
TX-20240331-001,2024-03-31,Nutri-Vet Multivitamin Chewable,Obat Hewan,4,4435,17740,QRIS,3,0,3,2024
TX-20240321-002,2024-03-21,Trixie Cat Laser Pointer,Mainan,14,50000,700000,Transfer,1,1,3,2024
TX-20240320-002,2024-03-20,Life Cat Tofu - Mango,Makanan,15,130000,1950000,QRIS,2,0,3,2024
TX-20240313-001,2024-03-13,Kong Classic Dog Chew Toy,Mainan,7,55833,390831,Transfer,1,1,3,2024
TX-20241201-001,2024-12-01,Drontal Cat Dewormer,Obat Hewan,15,130000,1950000,Tunai,3,2,12,2024
TX-20240411-001,2024-04-11,Life Cat Can - Chicken,Makanan,14,50000,700000,QRIS,2,0,4,2024
TX-20240811-002,2024-08-11,Rogz Utility Dog Leash - Medium,Aksesoris,7,250000,1750000,QRIS,0,0,8,2024
TX-20240418-001,2024-04-18,Life Cat Tofu - Mango,Makanan,19,4435,84265,Transfer,2,1,4,2024
TX-20240706-001,2024-07-06,Life Cat Pouch - Chicken Adult,Makanan,3,250000,750000,Tunai,2,2,7,2024
TX-20240629-002,2024-06-29,Life Cat Can - Kitten Tuna,Makanan,7,4435,31045,Tunai,2,2,6,2024
TX-20240929-003,2024-09-29,EzyDog Chest Plate Harness for Dogs,Aksesoris,8,4435,35480,Tunai,0,2,9,2024
TX-20240605-001,2024-06-05,Life Cat Can - Kitten Salmon,Makanan,11,130000,1430000,Tunai,2,2,6,2024
TX-20240126-001,2024-01-26,Trixie Cat Scratching Post,Mainan,5,50000,250000,QRIS,1,0,1,2024
TX-20241019-001,2024-10-19,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,14,12024,168336,QRIS,3,0,10,2024
TX-20240930-002,2024-09-30,Life Cat Pouch - Kitten Salmon,Makanan,16,130000,2080000,QRIS,2,0,9,2024
TX-20240617-002,2024-06-17,Life Cat Pouch Dus,Makanan,2,12024,24048,Transfer,2,1,6,2024
TX-20241014-001,2024-10-14,Life Cat Can - Kitten Tuna,Makanan,9,130000,1170000,Transfer,2,1,10,2024
TX-20240303-002,2024-03-03,Drontal Cat Dewormer,Obat Hewan,1,12024,12024,QRIS,3,0,3,2024
TX-20240601-001,2024-06-01,Drontal Cat Dewormer,Obat Hewan,19,55833,1060827,Tunai,3,2,6,2024
TX-20241017-003,2024-10-17,Kong Puppy Teething Stick,Mainan,9,4435,39915,Transfer,1,1,10,2024
TX-20241015-002,2024-10-15,Life Cat Can - Kitten Tuna,Makanan,1,250000,250000,Transfer,2,1,10,2024
TX-20241030-002,2024-10-30,Life Cat Pouch - Kitten Salmon,Makanan,13,130000,1690000,Tunai,2,2,10,2024
TX-20241104-001,2024-11-04,Kong Classic Dog Chew Toy,Mainan,2,12024,24048,Transfer,1,1,11,2024
TX-20240711-002,2024-07-11,Drontal Cat Dewormer,Obat Hewan,1,12024,12024,Tunai,3,2,7,2024
TX-20241020-002,2024-10-20,Life Cat Can - Kitten Salmon,Makanan,1,4435,4435,Transfer,2,1,10,2024
TX-20240629-003,2024-06-29,Life Cat Tofu - Macha,Makanan,8,50000,400000,QRIS,2,0,6,2024
TX-20241028-001,2024-10-28,Life Cat Pouch - Kitten Salmon,Makanan,14,130000,1820000,Tunai,2,2,10,2024
TX-20240522-001,2024-05-22,Trixie Cat Scratching Post,Mainan,18,4435,79830,Transfer,1,1,5,2024
TX-20240101-002,2024-01-01,Life Cat Pouch - Kitten Salmon,Makanan,2,4435,8870,Tunai,2,2,1,2024
TX-20241003-001,2024-10-03,Trixie Cat Tunnel,Mainan,15,50000,750000,QRIS,1,0,10,2024
TX-20240615-002,2024-06-15,Life Cat Pouch - Chicken Tuna Adult,Makanan,4,50000,200000,Transfer,2,1,6,2024
TX-20241016-001,2024-10-16,Life Cat Pouch - Kitten Chicken,Makanan,6,4435,26610,QRIS,2,0,10,2024
TX-20240204-003,2024-02-04,Life Cat Tofu - Macha,Makanan,11,4435,48785,Transfer,2,1,2,2024
TX-20240509-001,2024-05-09,EzyDog Chest Plate Harness for Dogs,Aksesoris,3,55833,167499,Transfer,0,1,5,2024
