ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran
TX-20240606-001,2024-06-06,Nutri-Vet Multivitamin Chewable,Obat Hewan,6,55000,330000,Transfer
TX-20240816-001,2024-08-16,Life Cat Tofu - Mango,Makanan,1,4500,4500,Transfer
TX-20241112-002,2024-11-12,Life Cat Can - Kitten Salmon,Makanan,9,250000,2250000,QRIS
TX-20240427-001,2024-04-27,Life Cat Can - Kitten Salmon,Makanan,10,50000,500000,QRIS
TX-20240523-001,2024-05-23,Life Cat Can - Chicken,Makanan,1,130000,130000,Tunai
TX-20240106-001,2024-01-06,Life Cat Pouch - Chicken Tuna Adult,Makanan,10,55000,550000,Tunai
TX-20240504-001,2024-05-04,Kong Classic Dog Chew Toy,Mainan,4,130000,520000,QRIS
TX-20240119-001,2024-01-19,Life Cat Pouch - Chicken Adult,Makanan,5,50000,250000,Transfer
TX-20240411-001,2024-04-11,Life Cat Pouch - Kitten Chicken,Makanan,8,12000,96000,Tunai
TX-20240425-001,2024-04-25,Life Cat Can - Kitten Tuna,Makanan,9,12000,108000,Tunai
TX-20240809-002,2024-08-09,Rogz Utility Dog Leash - Medium,Aksesoris,6,12000,72000,QRIS
TX-20240912-001,2024-09-12,Trixie Cat Scratching Post,Mainan,1,12000,12000,Transfer
TX-20240622-001,2024-06-22,Drontal Cat Dewormer,Obat Hewan,7,250000,1750000,QRIS
TX-20240902-001,2024-09-02,Trixie Cat Laser Pointer,Mainan,4,250000,1000000,Tunai
TX-20240421-001,2024-04-21,Trixie Cat Laser Pointer,Mainan,1,250000,250000,QRIS
TX-20240128-001,2024-01-28,Drontal Cat Dewormer,Obat Hewan,1,130000,130000,Tunai
TX-20241112-003,2024-11-12,Life Cat Pouch - Kitten Chicken,Makanan,8,12000,96000,QRIS
TX-20240212-001,2024-02-12,Trixie Cat Tunnel,Mainan,8,4500,36000,Tunai
TX-20240208-001,2024-02-08,EzyDog Chest Plate Harness for Dogs,Aksesoris,8,130000,1040000,Transfer
TX-20240620-001,2024-06-20,Life Cat Tofu - Mango,Makanan,10,250000,2500000,Tunai
TX-20240823-002,2024-08-23,Rogz Utility Dog Leash - Medium,Aksesoris,2,50000,100000,Tunai
TX-20241105-001,2024-11-05,Life Cat Can - Tuna,Makanan,3,12000,36000,Tunai
TX-20240424-001,2024-04-24,EzyDog Chest Plate Harness for Dogs,Aksesoris,9,4500,40500,QRIS
TX-20241118-002,2024-11-18,Life Cat Pouch - Salmon Adult,Makanan,3,50000,150000,Tunai
TX-20241002-002,2024-10-02,Rogz Utility Dog Leash - Medium,Aksesoris,2,4500,9000,Tunai
TX-20240120-001,2024-01-20,Life Cat Pouch - Kitten Tuna,Makanan,2,12000,24000,Tunai
TX-20240201-001,2024-02-01,Life Cat Pouch - Kitten Tuna,Makanan,2,55000,110000,QRIS
TX-20240704-001,2024-07-04,EzyDog Chest Plate Harness for Dogs,Aksesoris,6,12000,72000,Tunai
TX-20240908-001,2024-09-08,EzyDog Chest Plate Harness for Dogs,Aksesoris,6,4500,27000,Tunai
TX-20240802-001,2024-08-02,Life Cat Pouch - Salmon Adult,Makanan,2,12000,24000,QRIS
TX-20240622-002,2024-06-22,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,7,4500,31500,Transfer
TX-20240901-001,2024-09-01,Life Cat Pouch - Salmon Adult,Makanan,10,250000,2500000,QRIS
TX-20240907-002,2024-09-07,Seresto Flea and Tick Collar for Dogs,Obat Hewan,10,130000,1300000,Transfer
TX-20240913-001,2024-09-13,Drontal Cat Dewormer,Obat Hewan,3,4500,13500,Transfer
TX-20240220-001,2024-02-20,Life Cat Can - Chicken,Makanan,1,4500,4500,QRIS
TX-20240219-001,2024-02-19,Seresto Flea and Tick Collar for Dogs,Obat Hewan,1,4500,4500,Transfer
TX-20240529-001,2024-05-29,Life Cat Pouch - Kitten Salmon,Makanan,3,50000,150000,Tunai
TX-20240427-002,2024-04-27,Life Cat Pouch Dus,Makanan,9,50000,450000,QRIS
TX-20240317-001,2024-03-17,Seresto Flea and Tick Collar for Dogs,Obat Hewan,10,4500,45000,Tunai
TX-20240324-002,2024-03-24,Frontline Plus Flea & Tick Treatment,Obat Hewan,1,55000,55000,Tunai
TX-20240205-001,2024-02-05,Nutri-Vet Multivitamin Chewable,Obat Hewan,5,55000,275000,Transfer
TX-20240506-001,2024-05-06,Life Cat Tofu - Mango,Makanan,10,250000,2500000,Transfer
TX-20240329-001,2024-03-29,Trixie Cat Tunnel,Mainan,6,250000,1500000,Transfer
TX-20240721-002,2024-07-21,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,5,50000,250000,Tunai
TX-20240926-001,2024-09-26,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,1,250000,250000,Tunai
TX-20240223-002,2024-02-23,Kong Puppy Teething Stick,Mainan,5,50000,250000,Transfer
TX-20240927-001,2024-09-27,Life Cat Can - Tuna,Makanan,5,55000,275000,QRIS
TX-20240703-001,2024-07-03,Drontal Cat Dewormer,Obat Hewan,2,55000,110000,Transfer
TX-20240301-001,2024-03-01,Kong Classic Dog Chew Toy,Mainan,3,50000,150000,QRIS
TX-20240213-002,2024-02-13,Life Cat Pouch - Salmon Adult,Makanan,9,250000,2250000,QRIS
TX-20240224-001,2024-02-24,Life Cat Pouch - Chicken Adult,Makanan,6,50000,300000,Tunai
TX-20240508-001,2024-05-08,Trixie Cat Laser Pointer,Mainan,8,50000,400000,Transfer
TX-20240518-001,2024-05-18,Life Cat Can - Tuna,Makanan,10,130000,1300000,Tunai
TX-20241119-001,2024-11-19,Life Cat Tofu - Mango,Makanan,4,4500,18000,Tunai
TX-20241118-003,2024-11-18,Rogz Utility Dog Leash - Medium,Aksesoris,7,12000,84000,QRIS
TX-20240608-002,2024-06-08,Trixie Cat Tunnel,Mainan,9,250000,2250000,QRIS
TX-20240915-001,2024-09-15,Seresto Flea and Tick Collar for Dogs,Obat Hewan,4,50000,200000,Transfer
TX-20240719-002,2024-07-19,Life Cat Pouch - Kitten Chicken,Makanan,6,4500,27000,Transfer
TX-20240426-001,2024-04-26,EzyDog Chest Plate Harness for Dogs,Aksesoris,10,130000,1300000,Transfer
TX-20241104-001,2024-11-04,Life Cat Can - Tuna,Makanan,5,130000,650000,Transfer
TX-20240513-001,2024-05-13,Trixie Cat Tunnel,Mainan,1,12000,12000,Tunai
TX-20240102-001,2024-01-02,Trixie Cat Laser Pointer,Mainan,3,250000,750000,QRIS
TX-20240527-001,2024-05-27,Trixie Cat Scratching Post,Mainan,9,55000,495000,QRIS
TX-20240901-002,2024-09-01,Life Cat Can - Kitten Salmon,Makanan,2,130000,260000,QRIS
TX-20241118-004,2024-11-18,Life Cat Can - Chicken,Makanan,7,12000,84000,Tunai
TX-20240822-001,2024-08-22,Life Cat Pouch - Chicken Tuna Adult,Makanan,10,4500,45000,Tunai
TX-20240623-001,2024-06-23,Kong Classic Dog Chew Toy,Mainan,3,12000,36000,Tunai
TX-20240429-001,2024-04-29,Life Cat Pouch - Chicken Adult,Makanan,3,12000,36000,QRIS
TX-20240303-001,2024-03-03,Life Cat Pouch - Salmon Adult,Makanan,1,12000,12000,QRIS
TX-20240130-001,2024-01-30,Life Cat Pouch - Kitten Tuna,Makanan,8,12000,96000,QRIS
TX-20240216-002,2024-02-16,Life Cat Pouch Dus,Makanan,9,130000,1170000,QRIS
TX-20241113-001,2024-11-13,Kong Puppy Teething Stick,Mainan,7,4500,31500,QRIS
TX-20240328-001,2024-03-28,Life Cat Tofu - Mango,Makanan,1,4500,4500,Tunai
TX-20240728-001,2024-07-28,Life Cat Pouch - Kitten Tuna,Makanan,3,55000,165000,Tunai
TX-20240120-002,2024-01-20,Life Cat Pouch - Kitten Chicken,Makanan,5,130000,650000,QRIS
TX-20240418-001,2024-04-18,Life Cat Pouch - Kitten Tuna,Makanan,7,130000,910000,Tunai
TX-20241005-001,2024-10-05,Life Cat Pouch - Chicken Adult,Makanan,10,50000,500000,QRIS
TX-20240213-003,2024-02-13,Drontal Cat Dewormer,Obat Hewan,1,130000,130000,QRIS
TX-20240430-002,2024-04-30,Life Cat Tofu - Mango,Makanan,9,4500,40500,Transfer
TX-20240902-002,2024-09-02,Life Cat Pouch - Kitten Tuna,Makanan,9,12000,108000,QRIS
TX-20240924-001,2024-09-24,Life Cat Pouch - Kitten Salmon,Makanan,3,250000,750000,Tunai
TX-20240906-001,2024-09-06,Life Cat Can - Kitten Salmon,Makanan,6,4500,27000,Tunai
TX-20240526-001,2024-05-26,Trixie Cat Laser Pointer,Mainan,5,4500,22500,Transfer
TX-20240731-001,2024-07-31,Life Cat Tofu - Macha,Makanan,6,250000,1500000,Transfer
TX-20240524-001,2024-05-24,Trixie Cat Laser Pointer,Mainan,1,12000,12000,Transfer
TX-20240926-002,2024-09-26,Life Cat Tofu - Macha,Makanan,5,12000,60000,Tunai
TX-20240525-001,2024-05-25,Trixie Cat Laser Pointer,Mainan,3,50000,150000,Tunai
TX-20240112-002,2024-01-12,Rogz Utility Dog Leash - Medium,Aksesoris,8,250000,2000000,Tunai
TX-20240813-002,2024-08-13,Frontline Plus Flea & Tick Treatment,Obat Hewan,5,4500,22500,Tunai
TX-20240428-001,2024-04-28,Life Cat Pouch - Chicken Adult,Makanan,7,12000,84000,Tunai
TX-20240103-001,2024-01-03,Drontal Cat Dewormer,Obat Hewan,9,55000,495000,Transfer
TX-20240519-001,2024-05-19,Frontline Plus Flea & Tick Treatment,Obat Hewan,6,55000,330000,QRIS
TX-20240814-001,2024-08-14,Kong Classic Dog Chew Toy,Mainan,9,12000,108000,QRIS
TX-20240704-002,2024-07-04,Life Cat Can - Tuna,Makanan,8,130000,1040000,Transfer
TX-20240212-002,2024-02-12,Life Cat Pouch - Chicken Adult,Makanan,1,50000,50000,QRIS
TX-20240124-001,2024-01-24,Life Cat Can - Kitten Salmon,Makanan,1,130000,130000,Tunai
TX-20240715-001,2024-07-15,Trixie Cat Tunnel,Mainan,3,12000,36000,Transfer
TX-20240526-002,2024-05-26,Seresto Flea and Tick Collar for Dogs,Obat Hewan,7,130000,910000,Tunai
TX-20240320-001,2024-03-20,Life Cat Pouch - Salmon Adult,Makanan,7,50000,350000,Transfer
TX-20240104-001,2024-01-04,Life Cat Can - Chicken,Makanan,3,55000,165000,Transfer
TX-20240325-001,2024-03-25,Life Cat Tofu - Macha,Makanan,7,4500,31500,Tunai
TX-20241123-001,2024-11-23,Life Cat Pouch - Chicken Adult,Makanan,2,250000,500000,QRIS
TX-20240105-001,2024-01-05,Life Cat Tofu - Mango,Makanan,6,4500,27000,Transfer
TX-20240428-002,2024-04-28,EzyDog Chest Plate Harness for Dogs,Aksesoris,8,130000,1040000,Tunai
TX-20240324-003,2024-03-24,Nutri-Vet Multivitamin Chewable,Obat Hewan,5,250000,1250000,QRIS
TX-20240328-002,2024-03-28,Life Cat Pouch Dus,Makanan,3,50000,150000,QRIS
TX-20240318-001,2024-03-18,Life Cat Pouch - Kitten Tuna,Makanan,7,4500,31500,Tunai
TX-20240516-001,2024-05-16,Rogz Utility Dog Leash - Medium,Aksesoris,4,130000,520000,QRIS
TX-20240506-002,2024-05-06,Seresto Flea and Tick Collar for Dogs,Obat Hewan,2,50000,100000,Transfer
TX-20241017-001,2024-10-17,Rogz Utility Dog Leash - Medium,Aksesoris,6,130000,780000,Transfer
TX-20240726-001,2024-07-26,Frontline Plus Flea & Tick Treatment,Obat Hewan,3,250000,750000,QRIS
TX-20240823-003,2024-08-23,Life Cat Pouch - Chicken Tuna Adult,Makanan,3,50000,150000,Transfer
TX-20240212-003,2024-02-12,Trixie Cat Laser Pointer,Mainan,5,55000,275000,Transfer
TX-20240805-001,2024-08-05,Life Cat Pouch - Kitten Chicken,Makanan,7,50000,350000,QRIS
TX-20240813-003,2024-08-13,Trixie Cat Scratching Post,Mainan,3,12000,36000,Transfer
TX-20240410-001,2024-04-10,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,4,130000,520000,Transfer
TX-20241101-001,2024-11-01,Trixie Cat Laser Pointer,Mainan,5,50000,250000,QRIS
TX-20240218-001,2024-02-18,Life Cat Can - Kitten Tuna,Makanan,5,250000,1250000,Tunai
TX-20240211-001,2024-02-11,Trixie Cat Laser Pointer,Mainan,8,250000,2000000,Transfer
TX-20240708-002,2024-07-08,Life Cat Pouch - Kitten Salmon,Makanan,1,250000,250000,Tunai
TX-20240512-001,2024-05-12,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,8,55000,440000,Tunai
TX-20240912-002,2024-09-12,Kong Classic Dog Chew Toy,Mainan,5,250000,1250000,QRIS
TX-20240323-001,2024-03-23,Life Cat Pouch - Chicken Adult,Makanan,3,55000,165000,QRIS
TX-20240217-001,2024-02-17,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,4,250000,1000000,Transfer
TX-20240302-001,2024-03-02,Life Cat Pouch Dus,Makanan,7,55000,385000,QRIS
TX-20241031-001,2024-10-31,Seresto Flea and Tick Collar for Dogs,Obat Hewan,7,4500,31500,Tunai
TX-20240223-003,2024-02-23,Kong Classic Dog Chew Toy,Mainan,4,12000,48000,Transfer
TX-20240911-001,2024-09-11,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,8,12000,96000,QRIS
TX-20240209-001,2024-02-09,Trixie Cat Tunnel,Mainan,8,12000,96000,Transfer
TX-20240906-002,2024-09-06,Trixie Cat Scratching Post,Mainan,3,4500,13500,Transfer
TX-20240604-001,2024-06-04,Life Cat Pouch Dus,Makanan,7,55000,385000,QRIS
TX-20240405-001,2024-04-05,Life Cat Can - Chicken,Makanan,8,250000,2000000,Tunai
TX-20240709-001,2024-07-09,Trixie Cat Scratching Post,Mainan,10,12000,120000,QRIS
TX-20240601-001,2024-06-01,Life Cat Tofu - Macha,Makanan,5,250000,1250000,QRIS
TX-20240610-002,2024-06-10,Trixie Cat Laser Pointer,Mainan,8,50000,400000,QRIS
TX-20240226-001,2024-02-26,Life Cat Can - Chicken,Makanan,9,4500,40500,Transfer
TX-20240521-001,2024-05-21,Life Cat Pouch - Chicken Tuna Adult,Makanan,9,250000,2250000,QRIS
TX-20241017-002,2024-10-17,Life Cat Pouch - Kitten Tuna,Makanan,7,55000,385000,Transfer
TX-20240928-001,2024-09-28,Life Cat Can - Kitten Tuna,Makanan,4,50000,200000,Transfer
TX-20240917-001,2024-09-17,Rogz Utility Dog Leash - Medium,Aksesoris,2,4500,9000,QRIS
TX-20240824-001,2024-08-24,Drontal Cat Dewormer,Obat Hewan,2,50000,100000,Transfer
TX-20240522-001,2024-05-22,Life Cat Pouch - Salmon Adult,Makanan,8,130000,1040000,Tunai
TX-20240521-002,2024-05-21,Life Cat Pouch - Kitten Salmon,Makanan,1,55000,55000,QRIS
TX-20240507-001,2024-05-07,Nutri-Vet Multivitamin Chewable,Obat Hewan,4,55000,220000,Transfer
TX-20240224-002,2024-02-24,Kong Classic Dog Chew Toy,Mainan,2,250000,500000,Tunai
TX-20240925-001,2024-09-25,Life Cat Pouch Dus,Makanan,7,130000,910000,QRIS
TX-20240504-002,2024-05-04,Seresto Flea and Tick Collar for Dogs,Obat Hewan,7,12000,84000,QRIS
TX-20240124-002,2024-01-24,Life Cat Tofu - Macha,Makanan,5,55000,275000,Transfer
TX-20240922-002,2024-09-22,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,4,250000,1000000,QRIS
TX-20241117-001,2024-11-17,Life Cat Pouch - Kitten Salmon,Makanan,1,55000,55000,Tunai
TX-20240831-001,2024-08-31,Rogz Utility Dog Leash - Medium,Aksesoris,2,130000,260000,QRIS
TX-20240825-002,2024-08-25,Life Cat Pouch Dus,Makanan,10,4500,45000,Tunai
TX-20240329-002,2024-03-29,EzyDog Chest Plate Harness for Dogs,Aksesoris,4,12000,48000,QRIS
TX-20240118-001,2024-01-18,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,3,50000,150000,Transfer
TX-20240905-001,2024-09-05,Life Cat Pouch Dus,Makanan,8,50000,400000,Transfer
TX-20241029-002,2024-10-29,Life Cat Pouch Dus,Makanan,9,250000,2250000,Transfer
TX-20240908-002,2024-09-08,Life Cat Pouch - Chicken Tuna Adult,Makanan,7,50000,350000,Transfer
TX-20240222-001,2024-02-22,Life Cat Can - Tuna,Makanan,8,12000,96000,Transfer
TX-20240523-002,2024-05-23,Life Cat Can - Kitten Tuna,Makanan,3,250000,750000,QRIS
TX-20240131-002,2024-01-31,Life Cat Can - Kitten Salmon,Makanan,10,250000,2500000,Tunai
TX-20240820-002,2024-08-20,Kong Classic Dog Chew Toy,Mainan,6,250000,1500000,Transfer
TX-20240323-002,2024-03-23,Seresto Flea and Tick Collar for Dogs,Obat Hewan,5,250000,1250000,QRIS
TX-20240831-002,2024-08-31,Life Cat Pouch - Kitten Salmon,Makanan,9,4500,40500,QRIS
TX-20240521-003,2024-05-21,Life Cat Pouch - Kitten Chicken,Makanan,7,55000,385000,Tunai
TX-20240421-002,2024-04-21,Life Cat Pouch - Kitten Chicken,Makanan,7,50000,350000,QRIS
TX-20240209-002,2024-02-09,Life Cat Pouch - Kitten Tuna,Makanan,10,130000,1300000,QRIS
TX-20240920-001,2024-09-20,Kong Puppy Teething Stick,Mainan,1,130000,130000,QRIS
TX-20240128-002,2024-01-28,Life Cat Pouch Dus,Makanan,8,4500,36000,Transfer
TX-20240726-002,2024-07-26,Drontal Cat Dewormer,Obat Hewan,1,50000,50000,Tunai
TX-20240613-001,2024-06-13,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,2,4500,9000,Transfer
TX-20241016-002,2024-10-16,Seresto Flea and Tick Collar for Dogs,Obat Hewan,2,250000,500000,Tunai
TX-20241104-002,2024-11-04,Kong Classic Dog Chew Toy,Mainan,4,50000,200000,Tunai
TX-20240408-001,2024-04-08,Life Cat Tofu - Macha,Makanan,4,4500,18000,QRIS
TX-20240508-002,2024-05-08,Life Cat Can - Tuna,Makanan,8,55000,440000,Tunai
TX-20240507-002,2024-05-07,Kong Classic Dog Chew Toy,Mainan,3,50000,150000,Transfer
TX-20240112-003,2024-01-12,Life Cat Can - Kitten Tuna,Makanan,1,50000,50000,Transfer
TX-20240825-003,2024-08-25,Life Cat Pouch Dus,Makanan,9,4500,40500,Tunai
TX-20240322-001,2024-03-22,Life Cat Can - Kitten Tuna,Makanan,9,250000,2250000,QRIS
TX-20241115-002,2024-11-15,Seresto Flea and Tick Collar for Dogs,Obat Hewan,3,55000,165000,QRIS
TX-20240623-002,2024-06-23,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,8,250000,2000000,Transfer
TX-20240506-003,2024-05-06,Rogz Utility Dog Leash - Medium,Aksesoris,8,12000,96000,Transfer
TX-20241112-004,2024-11-12,Life Cat Can - Kitten Tuna,Makanan,6,4500,27000,Tunai
TX-20240103-002,2024-01-03,Kong Puppy Teething Stick,Mainan,4,12000,48000,Transfer
TX-20240318-002,2024-03-18,Life Cat Pouch - Chicken Adult,Makanan,9,50000,450000,QRIS
TX-20240218-002,2024-02-18,Trixie Cat Scratching Post,Mainan,7,130000,910000,Transfer
TX-20240713-001,2024-07-13,Life Cat Tofu - Macha,Makanan,2,12000,24000,Tunai
TX-20240929-001,2024-09-29,Kong Classic Dog Chew Toy,Mainan,10,55000,550000,QRIS
TX-20240806-001,2024-08-06,Life Cat Pouch - Kitten Chicken,Makanan,4,250000,1000000,Transfer
TX-20240817-001,2024-08-17,Rogz Utility Dog Leash - Medium,Aksesoris,6,4500,27000,Tunai
TX-20241109-001,2024-11-09,Life Cat Pouch - Kitten Chicken,Makanan,3,4500,13500,Transfer
TX-20241016-003,2024-10-16,Life Cat Pouch - Chicken Adult,Makanan,8,250000,2000000,QRIS
TX-20240128-003,2024-01-28,Life Cat Tofu - Macha,Makanan,1,55000,55000,QRIS
TX-20240216-003,2024-02-16,Life Cat Pouch - Salmon Adult,Makanan,6,4500,27000,QRIS
TX-20240425-002,2024-04-25,Life Cat Pouch - Kitten Chicken,Makanan,7,55000,385000,QRIS
TX-20240410-002,2024-04-10,Nutri-Vet Multivitamin Chewable,Obat Hewan,6,50000,300000,QRIS
TX-20241108-001,2024-11-08,Life Cat Pouch - Salmon Adult,Makanan,8,55000,440000,QRIS
TX-20241112-005,2024-11-12,Life Cat Pouch - Chicken Tuna Adult,Makanan,5,250000,1250000,QRIS
TX-20240409-001,2024-04-09,EzyDog Chest Plate Harness for Dogs,Aksesoris,6,4500,27000,QRIS
TX-20240524-002,2024-05-24,Nutri-Vet Multivitamin Chewable,Obat Hewan,8,55000,440000,Transfer
TX-20240716-001,2024-07-16,Trixie Cat Laser Pointer,Mainan,8,50000,400000,QRIS
TX-20240111-001,2024-01-11,Life Cat Can - Kitten Salmon,Makanan,3,12000,36000,Tunai
TX-20240105-002,2024-01-05,Frontline Plus Flea & Tick Treatment,Obat Hewan,5,4500,22500,Transfer
TX-20240611-001,2024-06-11,Life Cat Pouch - Chicken Tuna Adult,Makanan,6,50000,300000,Tunai
TX-20240128-004,2024-01-28,Life Cat Can - Chicken,Makanan,5,250000,1250000,QRIS
TX-20240407-001,2024-04-07,Life Cat Pouch - Chicken Tuna Adult,Makanan,1,130000,130000,QRIS
TX-20240930-001,2024-09-30,Trixie Cat Laser Pointer,Mainan,8,55000,440000,Tunai
TX-20240603-001,2024-06-03,Life Cat Tofu - Macha,Makanan,7,4500,31500,Transfer
TX-20240531-001,2024-05-31,Life Cat Pouch Dus,Makanan,3,4500,13500,Transfer
TX-20240311-001,2024-03-11,Life Cat Can - Tuna,Makanan,7,250000,1750000,Transfer
TX-20240311-002,2024-03-11,Kong Puppy Teething Stick,Mainan,9,250000,2250000,QRIS
TX-20240115-001,2024-01-15,Kong Puppy Teething Stick,Mainan,8,55000,440000,Tunai
TX-20241023-001,2024-10-23,Life Cat Can - Chicken,Makanan,4,50000,200000,Transfer
TX-20240728-002,2024-07-28,Rogz Utility Dog Leash - Medium,Aksesoris,5,130000,650000,Tunai
TX-20241127-001,2024-11-27,Life Cat Pouch - Kitten Salmon,Makanan,3,50000,150000,Tunai
TX-20240108-001,2024-01-08,Life Cat Can - Kitten Salmon,Makanan,4,12000,48000,QRIS
TX-20240814-002,2024-08-14,Rogz Utility Dog Leash - Medium,Aksesoris,7,12000,84000,QRIS
TX-20241111-001,2024-11-11,Rogz Utility Dog Leash - Medium,Aksesoris,8,130000,1040000,QRIS
TX-20240509-001,2024-05-09,Trixie Cat Scratching Post,Mainan,6,50000,300000,QRIS
TX-20241110-001,2024-11-10,Life Cat Tofu - Macha,Makanan,7,50000,350000,Tunai
