ID Transaksi,Tanggal Transaksi,Metode Pembayaran,Nama Barang 1,Kategori Barang 1,Jumlah Barang Dibeli 1,Harga Barang 1,Nama Barang 2,Kategori Barang 2,Jumlah Barang Dibeli 2,Harga Barang 2,Nama Barang 3,Kategori Barang 3,Jumlah Barang Dibeli 3,Harga Barang 3,Nama Barang 4,Kategori Barang 4,Jumlah Barang Dibeli 4,Harga Barang 4,Nama Barang 5,Kategori Barang 5,Jumlah Barang Dibeli 5,Harga Barang 5,Total Harga Transaksi
dQFq7ym3,2024-08-09,Transfer Bank,Life Cat Can - Kitten Tuna,Makanan Kucing,7,12000,Makanan Kucing Whiskas,Makanan Kucing,9,45000,Life Cat Tofu - Mango,Makanan Kucing,1.0,55833.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,3.0,4453.0,,,,,558192
wW2BGfFY,2024-02-22,QRIS,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,8,12000,Life Cat Tofu - Mango,Makanan Kucing,6.0,55833.0,Makanan Kucing Whiskas,Makanan Kucing,10.0,45000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,9.0,12000.0,997998
T2ULuQWa,2024-01-12,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,3,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Life Cat Pouch Dus,Makanan Kucing,10.0,108000.0,Life Cat Can - Tuna,Makanan Kucing,3.0,11000.0,,,,,1186500
4V7ys3V8,2024-06-03,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6,4435,Makanan Kucing Whiskas,Makanan Kucing,1,45000,Makanan Ikan Gupi,Makanan Ikan,9.0,35000.0,,,,,,,,,386610
9U5M0Bc0,2024-09-01,QRIS,Life Cat Can - Tuna,Makanan Kucing,5,11000,Life Cat Can - Kitten Tuna,Makanan Kucing,6,12000,Life Cat Tofu - Macha,Makanan Kucing,8.0,55833.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,8.0,4435.0,,,,,609144
ShHvTptc,2024-05-19,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,6,4435,Makanan Anjing Purina,Makanan Anjing,9,50000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,3.0,4500.0,,,,,,,,,490110
Y8REiPbj,2024-05-27,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,8,11000,Makanan Kucing Whiskas,Makanan Kucing,2,45000,,,,,,,,,,,,,178000
xaylRtao,2024-04-15,QRIS,Mainan Anjing Kong,Mainan Anjing,10,20000,Makanan Ikan Gupi,Makanan Ikan,1,35000,Life Cat Tofu - Mango,Makanan Kucing,7.0,55833.0,,,,,,,,,625831
kTT3yaE6,2024-08-26,QRIS,Makanan Anjing Purina,Makanan Anjing,7,50000,Mainan Anjing Kong,Mainan Anjing,2,20000,Life Cat Can - Kitten Tuna,Makanan Kucing,5.0,12000.0,,,,,,,,,450000
3WWpCjeJ,2024-02-17,Cash,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,6.0,4435.0,,,,,,,,,95610
NBAQ888L,2024-04-24,QRIS,Life Cat Tofu - Macha,Makanan Kucing,1,55833,Life Cat Pouch Dus,Makanan Kucing,3,108000,,,,,,,,,,,,,379833
aSe4l3IZ,2024-01-04,QRIS,Life Cat Can - Chicken & Salmon,Makanan Kucing,7,12000,Makanan Kucing Whiskas,Makanan Kucing,2,45000,,,,,,,,,,,,,174000
8EASi56w,2024-11-19,QRIS,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,Life Cat Can - Tuna,Makanan Kucing,7,11000,Life Cat Tofu - Mango,Makanan Kucing,9.0,55833.0,Makanan Anjing Purina,Makanan Anjing,4.0,50000.0,Life Cat Tofu - Macha,Makanan Kucing,8.0,55833.0,1235161
2tg0mW4I,2024-08-21,Cash,Life Cat Can - Kitten Salmon,Makanan Kucing,1,12024,Life Cat Pouch Dus,Makanan Kucing,1,108000,Makanan Ikan Gupi,Makanan Ikan,7.0,35000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,4.0,12000.0,,,,,413024
eRhKoFIh,2024-03-16,QRIS,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6,4435,Life Cat Can - Chicken & Salmon,Makanan Kucing,10,12000,Makanan Kucing Whiskas,Makanan Kucing,10.0,45000.0,Life Cat Tofu - Macha,Makanan Kucing,8.0,55833.0,,,,,1043274
Gycmma1D,2024-03-19,Transfer Bank,Mainan Anjing Kong,Mainan Anjing,10,20000,Life Cat Tofu - Mango,Makanan Kucing,4,55833,Life Cat Pouch - Salmon Adult,Makanan Kucing,2.0,4453.0,,,,,,,,,432238
QDNBenFw,2024-11-18,Transfer Bank,Makanan Anjing Purina,Makanan Anjing,3,50000,Life Cat Pouch Dus,Makanan Kucing,7,108000,Mainan Anjing Kong,Mainan Anjing,8.0,20000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,5.0,12000.0,,,,,1126000
uMUlzH4K,2024-03-06,QRIS,Mainan Anjing Kong,Mainan Anjing,4,20000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,5,4500,Makanan Anjing Purina,Makanan Anjing,7.0,50000.0,Life Cat Tofu - Macha,Makanan Kucing,10.0,55833.0,,,,,1010830
j9xEHmFo,2024-05-20,Transfer Bank,Mainan Kucing ScratchPad,Mainan Kucing,6,25000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,6,4500,Life Cat Pouch - Kitten Tuna,Makanan Kucing,1.0,4435.0,Life Cat Pouch - Chicken adult,Makanan Kucing,9.0,4435.0,Life Cat Tofu - Mango,Makanan Kucing,1.0,55833.0,277183
goQyoOPM,2024-04-09,Transfer Bank,Life Cat Pouch - Salmon Adult,Makanan Kucing,3,4453,Life Cat Tofu - Macha,Makanan Kucing,4,55833,Life Cat Pouch - Kitten Tuna,Makanan Kucing,3.0,4435.0,Makanan Kucing Whiskas,Makanan Kucing,8.0,45000.0,Life Cat Pouch Dus,Makanan Kucing,6.0,108000.0,1257996
4oSqc6Sd,2024-11-21,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,1,4453,Life Cat Pouch - Kitten Tuna,Makanan Kucing,5,4435,Life Cat Tofu - Macha,Makanan Kucing,6.0,55833.0,,,,,,,,,361626
HezkQ4Md,2024-08-21,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Life Cat Pouch Dus,Makanan Kucing,3,108000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6.0,4435.0,Makanan Anjing Purina,Makanan Anjing,3.0,50000.0,Life Cat Tofu - Mango,Makanan Kucing,7.0,55833.0,904746
abykkrKH,2024-09-27,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,Makanan Anjing Purina,Makanan Anjing,8,50000,Life Cat Can - Kitten Salmon,Makanan Kucing,5.0,12024.0,,,,,,,,,464555
Jwu7trbM,2024-09-18,Transfer Bank,Life Cat Tofu - Mango,Makanan Kucing,1,55833,Makanan Kucing Whiskas,Makanan Kucing,1,45000,Life Cat Can - Kitten Tuna,Makanan Kucing,9.0,12000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,5.0,4435.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,6.0,4453.0,257726
WPWZByyD,2024-09-13,QRIS,Mainan Anjing Kong,Mainan Anjing,1,20000,Life Cat Pouch - Chicken adult,Makanan Kucing,5,4435,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,3.0,4500.0,Makanan Kucing Whiskas,Makanan Kucing,5.0,45000.0,,,,,280675
szbJ1ZSn,2024-09-01,Cash,Life Cat Tofu - Mango,Makanan Kucing,7,55833,Life Cat Can - Kitten Tuna,Makanan Kucing,6,12000,,,,,,,,,,,,,462831
gv3jp0tl,2024-01-16,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,3,4453,Life Cat Can - Kitten Tuna,Makanan Kucing,4,12000,Life Cat Pouch Dus,Makanan Kucing,6.0,108000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8.0,4435.0,,,,,744839
G0xLmU88,2024-08-13,QRIS,Mainan Anjing Kong,Mainan Anjing,1,20000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,8,4500,,,,,,,,,,,,,56000
OCnI984M,2024-04-03,Cash,Mainan Anjing Kong,Mainan Anjing,2,20000,Life Cat Can - Kitten Salmon,Makanan Kucing,8,12024,Makanan Kucing Whiskas,Makanan Kucing,1.0,45000.0,,,,,,,,,181192
BQmi07s2,2024-09-17,QRIS,Life Cat Pouch Dus,Makanan Kucing,9,108000,Makanan Anjing Purina,Makanan Anjing,2,50000,,,,,,,,,,,,,1072000
UL4HL6bw,2024-07-22,Transfer Bank,Life Cat Tofu - Macha,Makanan Kucing,3,55833,Makanan Anjing Purina,Makanan Anjing,7,50000,Life Cat Pouch - Salmon Adult,Makanan Kucing,7.0,4453.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4.0,4435.0,,,,,566410
cZQJaZPF,2024-06-17,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,7,108000,Life Cat Can - Kitten Salmon,Makanan Kucing,1,12024,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,5.0,4500.0,,,,,,,,,790524
PfMaFmeC,2024-06-02,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,7,11000,Makanan Ikan Gupi,Makanan Ikan,4,35000,Makanan Anjing Purina,Makanan Anjing,9.0,50000.0,Mainan Anjing Kong,Mainan Anjing,4.0,20000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,2.0,4435.0,755870
mzvRuu4V,2024-03-03,Cash,Makanan Ikan Gupi,Makanan Ikan,3,35000,Life Cat Can - Kitten Salmon,Makanan Kucing,3,12024,,,,,,,,,,,,,141072
M5YmgJxK,2024-11-25,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,9,4453,Life Cat Can - Kitten Tuna,Makanan Kucing,5,12000,Life Cat Tofu - Macha,Makanan Kucing,3.0,55833.0,,,,,,,,,267576
ro4ENQcE,2024-10-12,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,2,4435,Life Cat Can - Chicken & Salmon,Makanan Kucing,6,12000,,,,,,,,,,,,,80870
kFTegyzh,2024-12-02,Transfer Bank,Mainan Kucing ScratchPad,Mainan Kucing,8,25000,Life Cat Pouch - Salmon Adult,Makanan Kucing,10,4453,Life Cat Can - Chicken & Salmon,Makanan Kucing,1.0,12000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4.0,4435.0,,,,,274270
hd2QKNLx,2024-12-24,Transfer Bank,Makanan Anjing Purina,Makanan Anjing,5,50000,Makanan Ikan Gupi,Makanan Ikan,9,35000,Makanan Kucing Whiskas,Makanan Kucing,6.0,45000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,10.0,12000.0,,,,,955000
n8nNaw3G,2024-11-06,QRIS,Life Cat Pouch - Chicken adult,Makanan Kucing,7,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,9,12024,Life Cat Can - Kitten Tuna,Makanan Kucing,6.0,12000.0,Life Cat Pouch Dus,Makanan Kucing,1.0,108000.0,,,,,319261
9CBSIXx0,2024-10-24,QRIS,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6,4435,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,6,4500,Life Cat Can - Kitten Tuna,Makanan Kucing,9.0,12000.0,,,,,,,,,161610
BuPloWqM,2024-06-16,Transfer Bank,Life Cat Can - Tuna,Makanan Kucing,9,11000,Makanan Kucing Whiskas,Makanan Kucing,3,45000,Mainan Anjing Kong,Mainan Anjing,10.0,20000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,3.0,4435.0,Life Cat Tofu - Macha,Makanan Kucing,6.0,55833.0,782303
HFlVOJx4,2024-11-05,QRIS,Life Cat Tofu - Mango,Makanan Kucing,9,55833,Life Cat Pouch Dus,Makanan Kucing,4,108000,,,,,,,,,,,,,934497
h0uvBnJ4,2024-08-11,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,4,4435,Makanan Anjing Purina,Makanan Anjing,5,50000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,7.0,4435.0,,,,,,,,,298785
6O7VsWKO,2024-02-13,Transfer Bank,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4,4500,Mainan Kucing ScratchPad,Mainan Kucing,6,25000,Life Cat Pouch - Salmon Adult,Makanan Kucing,5.0,4453.0,Life Cat Tofu - Mango,Makanan Kucing,1.0,55833.0,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,266098
ItLtZX6S,2024-01-30,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,5,4435,Life Cat Tofu - Mango,Makanan Kucing,10,55833,Life Cat Can - Tuna,Makanan Kucing,6.0,11000.0,,,,,,,,,646505
L5mHKmeR,2024-04-03,Cash,Life Cat Pouch - Salmon Adult,Makanan Kucing,2,4453,Mainan Anjing Kong,Mainan Anjing,3,20000,Life Cat Can - Kitten Tuna,Makanan Kucing,6.0,12000.0,Makanan Ikan Gupi,Makanan Ikan,5.0,35000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,1.0,4435.0,320341
3ENJkXI7,2024-05-19,Cash,Life Cat Can - Tuna,Makanan Kucing,3,11000,Life Cat Pouch Dus,Makanan Kucing,4,108000,Makanan Kucing Whiskas,Makanan Kucing,1.0,45000.0,Life Cat Tofu - Mango,Makanan Kucing,2.0,55833.0,Life Cat Pouch - Chicken adult,Makanan Kucing,6.0,4435.0,648276
l5myez6c,2024-09-06,QRIS,Life Cat Pouch - Salmon Adult,Makanan Kucing,5,4453,Mainan Kucing ScratchPad,Mainan Kucing,8,25000,Life Cat Tofu - Mango,Makanan Kucing,2.0,55833.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,7.0,4435.0,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,5.0,4500.0,387476
hcLNRJjA,2024-03-10,Cash,Life Cat Can - Kitten Salmon,Makanan Kucing,3,12024,Mainan Kucing ScratchPad,Mainan Kucing,6,25000,,,,,,,,,,,,,186072
FaeP9z9n,2024-09-06,Cash,Life Cat Tofu - Mango,Makanan Kucing,6,55833,Makanan Anjing Purina,Makanan Anjing,3,50000,Mainan Kucing ScratchPad,Mainan Kucing,10.0,25000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,7.0,4435.0,,,,,766043
1o3wySoj,2024-12-17,Transfer Bank,Life Cat Pouch - Kitten Tuna,Makanan Kucing,5,4435,Life Cat Pouch - Chicken adult,Makanan Kucing,2,4435,Makanan Ikan Gupi,Makanan Ikan,2.0,35000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,6.0,12024.0,Makanan Anjing Purina,Makanan Anjing,2.0,50000.0,273189
d4SHxIng,2024-09-01,QRIS,Makanan Ikan Gupi,Makanan Ikan,10,35000,Makanan Kucing Whiskas,Makanan Kucing,8,45000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,6.0,4435.0,Life Cat Can - Tuna,Makanan Kucing,4.0,11000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,9.0,12000.0,888610
LFiHB2FG,2024-01-10,Cash,Life Cat Pouch - Kitten Chicken,Makanan Kucing,2,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,2,12000,Makanan Ikan Gupi,Makanan Ikan,8.0,35000.0,Makanan Kucing Whiskas,Makanan Kucing,8.0,45000.0,Makanan Anjing Purina,Makanan Anjing,3.0,50000.0,822870
I0pQeFxM,2024-02-15,QRIS,Life Cat Can - Chicken & Salmon,Makanan Kucing,8,12000,Mainan Anjing Kong,Mainan Anjing,8,20000,Makanan Kucing Whiskas,Makanan Kucing,9.0,45000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,3.0,12000.0,Life Cat Pouch Dus,Makanan Kucing,1.0,108000.0,805000
3QWPn9Xh,2024-08-20,Cash,Life Cat Pouch - Kitten Tuna,Makanan Kucing,1,4435,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,8,4500,Life Cat Can - Chicken & Salmon,Makanan Kucing,3.0,12000.0,Life Cat Pouch Dus,Makanan Kucing,2.0,108000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4.0,4435.0,310175
oDT99gXJ,2024-08-15,Cash,Life Cat Pouch - Chicken adult,Makanan Kucing,1,4435,Life Cat Tofu - Macha,Makanan Kucing,7,55833,Life Cat Pouch Dus,Makanan Kucing,2.0,108000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4.0,4435.0,Mainan Anjing Kong,Mainan Anjing,1.0,20000.0,649006
knV6XYmJ,2024-02-07,QRIS,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,Life Cat Pouch - Kitten Chicken,Makanan Kucing,2,4435,Makanan Kucing Whiskas,Makanan Kucing,5.0,45000.0,,,,,,,,,242870
gQxdoXVy,2024-09-21,Cash,Life Cat Tofu - Mango,Makanan Kucing,3,55833,Life Cat Pouch - Kitten Chicken,Makanan Kucing,7,4435,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8.0,4435.0,Makanan Ikan Gupi,Makanan Ikan,7.0,35000.0,Mainan Anjing Kong,Mainan Anjing,6.0,20000.0,599024
GVddf8fd,2024-04-04,Transfer Bank,Life Cat Can - Kitten Salmon,Makanan Kucing,10,12024,Mainan Anjing Kong,Mainan Anjing,6,20000,,,,,,,,,,,,,240240
lOf0w8j2,2024-04-30,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,6,108000,Makanan Ikan Gupi,Makanan Ikan,7,35000,Life Cat Pouch - Chicken adult,Makanan Kucing,5.0,4435.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,7.0,4453.0,,,,,946346
CyoKeZxk,2024-06-02,QRIS,Life Cat Pouch - Kitten Tuna,Makanan Kucing,7,4435,Life Cat Can - Tuna,Makanan Kucing,5,11000,,,,,,,,,,,,,86045
duTWk1Iq,2024-03-16,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,3,4435,Life Cat Pouch Dus,Makanan Kucing,2,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,5.0,4500.0,,,,,,,,,251805
K6H0flLf,2024-07-05,Transfer Bank,Mainan Kucing ScratchPad,Mainan Kucing,9,25000,Life Cat Tofu - Mango,Makanan Kucing,9,55833,Life Cat Can - Tuna,Makanan Kucing,5.0,11000.0,,,,,,,,,782497
khoTso3X,2024-06-30,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,3,12000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2,4500,,,,,,,,,,,,,45000
dgyM44tE,2024-10-13,Transfer Bank,Makanan Ikan Gupi,Makanan Ikan,10,35000,Mainan Anjing Kong,Mainan Anjing,9,20000,Makanan Anjing Purina,Makanan Anjing,6.0,50000.0,Makanan Kucing Whiskas,Makanan Kucing,4.0,45000.0,Life Cat Can - Chicken & Salmon,Makanan Kucing,1.0,12000.0,1022000
ikRzLIkX,2024-08-28,Transfer Bank,Life Cat Can - Chicken & Salmon,Makanan Kucing,10,12000,Makanan Kucing Whiskas,Makanan Kucing,7,45000,,,,,,,,,,,,,435000
k0pdy73F,2024-07-06,QRIS,Life Cat Pouch - Kitten Tuna,Makanan Kucing,8,4435,Life Cat Pouch - Salmon Adult,Makanan Kucing,8,4453,Life Cat Pouch - Kitten Chicken,Makanan Kucing,10.0,4435.0,Life Cat Pouch - Chicken adult,Makanan Kucing,9.0,4435.0,Life Cat Can - Kitten Salmon,Makanan Kucing,5.0,12024.0,215489
3Ahwr6bC,2024-02-04,Cash,Makanan Anjing Purina,Makanan Anjing,8,50000,Makanan Kucing Whiskas,Makanan Kucing,9,45000,,,,,,,,,,,,,805000
zhqIBGSf,2024-05-17,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,1,108000,Makanan Anjing Purina,Makanan Anjing,2,50000,Life Cat Pouch - Chicken adult,Makanan Kucing,5.0,4435.0,Life Cat Can - Tuna,Makanan Kucing,1.0,11000.0,,,,,241175
kURBPBJ0,2024-07-01,Cash,Life Cat Can - Tuna,Makanan Kucing,8,11000,Life Cat Pouch - Chicken adult,Makanan Kucing,6,4435,Mainan Anjing Kong,Mainan Anjing,7.0,20000.0,,,,,,,,,254610
1HHF0JT9,2024-06-19,Transfer Bank,Life Cat Tofu - Macha,Makanan Kucing,5,55833,Life Cat Pouch - Kitten Chicken,Makanan Kucing,8,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,7.0,12024.0,,,,,,,,,398813
9KjDKfxg,2024-07-24,Cash,Life Cat Can - Chicken & Salmon,Makanan Kucing,5,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,8,12024,,,,,,,,,,,,,156192
ASoVX7xp,2024-05-24,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,10,108000,Life Cat Can - Kitten Salmon,Makanan Kucing,8,12024,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,2.0,4500.0,Mainan Kucing ScratchPad,Mainan Kucing,10.0,25000.0,Life Cat Can - Kitten Tuna,Makanan Kucing,9.0,12000.0,1543192
aVGTqTlL,2024-04-03,QRIS,Life Cat Tofu - Macha,Makanan Kucing,10,55833,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,7,4500,,,,,,,,,,,,,589830
vEhLtjfB,2024-08-22,Transfer Bank,Life Cat Can - Kitten Tuna,Makanan Kucing,7,12000,Life Cat Tofu - Mango,Makanan Kucing,8,55833,,,,,,,,,,,,,530664
6EivPW3g,2024-12-10,Transfer Bank,Life Cat Pouch - Chicken adult,Makanan Kucing,4,4435,Makanan Ikan Gupi,Makanan Ikan,10,35000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,9.0,4435.0,,,,,,,,,407655
aoGpK1ZP,2024-03-07,QRIS,Makanan Ikan Gupi,Makanan Ikan,7,35000,Makanan Anjing Purina,Makanan Anjing,4,50000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,9.0,4435.0,Life Cat Can - Kitten Tuna,Makanan Kucing,10.0,12000.0,,,,,604915
qu6e5NZy,2024-08-28,Cash,Mainan Anjing Kong,Mainan Anjing,9,20000,Life Cat Can - Tuna,Makanan Kucing,9,11000,Life Cat Pouch Dus,Makanan Kucing,3.0,108000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,3.0,4435.0,Life Cat Can - Kitten Salmon,Makanan Kucing,9.0,12024.0,724521
8FbI3l2h,2024-04-14,Transfer Bank,Life Cat Can - Kitten Salmon,Makanan Kucing,8,12024,Mainan Kucing ScratchPad,Mainan Kucing,4,25000,,,,,,,,,,,,,196192
21ImKL9C,2024-12-05,Transfer Bank,Life Cat Can - Kitten Tuna,Makanan Kucing,9,12000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,10,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,4.0,12024.0,,,,,,,,,200446
RtcBnWAD,2024-07-14,QRIS,Makanan Ikan Gupi,Makanan Ikan,2,35000,Life Cat Pouch - Salmon Adult,Makanan Kucing,6,4453,Life Cat Pouch - Kitten Tuna,Makanan Kucing,1.0,4435.0,Life Cat Can - Kitten Tuna,Makanan Kucing,4.0,12000.0,Makanan Kucing Whiskas,Makanan Kucing,3.0,45000.0,284153
VbHH3Xeu,2024-10-27,Transfer Bank,Life Cat Pouch Dus,Makanan Kucing,2,108000,Life Cat Can - Tuna,Makanan Kucing,4,11000,,,,,,,,,,,,,260000
DoGCXz6L,2024-11-14,Transfer Bank,Makanan Kucing Whiskas,Makanan Kucing,10,45000,Mainan Anjing Kong,Mainan Anjing,6,20000,Life Cat Tofu - Mango,Makanan Kucing,7.0,55833.0,Mainan Kucing ScratchPad,Mainan Kucing,1.0,25000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,8.0,4435.0,1021311
