ID Transaksi,Tanggal Transaksi,Nama Barang,Kategori,Jumlah Terjual,Harga Satuan,Total Harga,Metode Pembayaran
TX-20240323-001,2024-03-23,"Life Cat Pouch Dus, Life Cat Tofu - Mango","Makanan, Makanan","1, 4","25000, 13000","25000, 52000",QRIS
TX-20240531-002,2024-05-31,"Life Cat Pouch - Chicken Adult, Life Cat Pouch - Kitten Chicken","Makanan, Makanan","4, 3","13000, 12000","52000, 36000",QRIS
TX-20240620-001,2024-06-20,"Trixie Cat Scratching Post, Life Cat Pouch - Chicken Tuna Adult, Life Cat Pouch - Salmon Adult","Mainan, Makanan, Makanan","3, 5, 2","13000, 20000, 25000","39000, 100000, 50000",Tunai
TX-20240416-001,2024-04-16,Life Cat Pouch Dus,Makanan,9,12000,108000,Transfer
TX-20240430-001,2024-04-30,EzyDog Chest Plate Harness for Dogs,Aksesoris,5,20000,100000,Tunai
TX-20241013-001,2024-10-13,"Trixie Cat Laser Pointer, Life Cat Pouch - Kitten Chicken, Life Cat Pouch - Chicken Adult","Mainan, Makanan, Makanan","8, 8, 5","30000, 30000, 25000","240000, 240000, 125000",Transfer
TX-20240324-001,2024-03-24,"Life Cat Can - Chicken, EzyDog Chest Plate Harness for Dogs, Life Cat Can - Kitten Tuna","Makanan, Aksesoris, Makanan","6, 5, 9","13000, 12000, 12000","78000, 60000, 108000",Tunai
TX-20240615-001,2024-06-15,"Trixie Cat Scratching Post, Frontline Plus Flea & Tick Treatment","Mainan, Obat Hewan","8, 2","4500, 30000","36000, 60000",Transfer
TX-20240515-002,2024-05-15,"Life Cat Pouch Dus, Life Cat Pouch - Salmon Adult","Makanan, Makanan","3, 6","12000, 20000","36000, 120000",QRIS
TX-20240815-001,2024-08-15,"Kong Puppy Teething Stick, Life Cat Pouch - Salmon Adult, Trixie Cat Laser Pointer","Mainan, Makanan, Mainan","2, 4, 4","25000, 12000, 4500","50000, 48000, 18000",Tunai
TX-20240426-002,2024-04-26,"Life Cat Pouch - Salmon Adult, Life Cat Can - Kitten Tuna, EzyDog Chest Plate Harness for Dogs","Makanan, Makanan, Aksesoris","9, 9, 6","4500, 30000, 12000","40500, 270000, 72000",QRIS
TX-20240726-001,2024-07-26,"Life Cat Pouch Dus, Life Cat Can - Chicken, Life Cat Tofu - Mango","Makanan, Makanan, Makanan","5, 2, 2","4500, 13000, 25000","22500, 26000, 50000",QRIS
TX-20241029-001,2024-10-29,"Life Cat Pouch - Chicken Tuna Adult, Drontal Cat Dewormer","Makanan, Obat Hewan","5, 5","25000, 4500","125000, 22500",Transfer
TX-20240215-001,2024-02-15,"Life Cat Pouch - Kitten Salmon, Kong Classic Dog Chew Toy, Life Cat Pouch - Kitten Tuna","Makanan, Mainan, Makanan","9, 6, 10","20000, 30000, 25000","180000, 180000, 250000",Transfer
TX-20240731-001,2024-07-31,"Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Salmon Adult","Obat Hewan, Makanan","6, 9","25000, 12000","150000, 108000",QRIS
TX-20240929-001,2024-09-29,Life Cat Can - Kitten Salmon,Makanan,10,25000,250000,Tunai
TX-20241008-001,2024-10-08,Trixie Cat Scratching Post,Mainan,5,4500,22500,QRIS
TX-20240513-001,2024-05-13,Trixie Cat Laser Pointer,Mainan,1,13000,13000,Transfer
TX-20240126-001,2024-01-26,"Life Cat Can - Kitten Salmon, Life Cat Pouch - Kitten Tuna","Makanan, Makanan","6, 3","12000, 30000","72000, 90000",Tunai
TX-20240502-001,2024-05-02,"Life Cat Can - Chicken, Nutri-Vet Multivitamin Chewable","Makanan, Obat Hewan","8, 6","25000, 25000","200000, 150000",QRIS
TX-20240209-001,2024-02-09,Drontal Cat Dewormer,Obat Hewan,5,30000,150000,QRIS
TX-20241111-002,2024-11-11,"Kong Classic Dog Chew Toy, Trixie Cat Tunnel, Life Cat Can - Kitten Tuna","Mainan, Mainan, Makanan","4, 7, 8","12000, 12000, 12000","48000, 84000, 96000",QRIS
TX-20240103-001,2024-01-03,"Kong Classic Dog Chew Toy, Trixie Cat Tunnel","Mainan, Mainan","9, 2","12000, 30000","108000, 60000",Tunai
TX-20240628-001,2024-06-28,"Frontline Plus Flea & Tick Treatment, Trixie Cat Tunnel","Obat Hewan, Mainan","7, 8","12000, 12000","84000, 96000",Tunai
TX-20240711-001,2024-07-11,"Beaphar Ear Cleaner for Dogs & Cats, Life Cat Pouch - Kitten Chicken","Obat Hewan, Makanan","4, 8","4500, 12000","18000, 96000",QRIS
TX-20240825-001,2024-08-25,Life Cat Can - Kitten Salmon,Makanan,7,13000,91000,Tunai
TX-20240808-001,2024-08-08,"Life Cat Pouch - Kitten Salmon, Life Cat Pouch Dus","Makanan, Makanan","9, 7","12000, 20000","108000, 140000",QRIS
TX-20241202-001,2024-12-02,"Frontline Plus Flea & Tick Treatment, Life Cat Pouch - Kitten Chicken","Obat Hewan, Makanan","3, 2","4500, 25000","13500, 50000",Tunai
TX-20240908-001,2024-09-08,"Life Cat Tofu - Mango, Life Cat Pouch - Kitten Tuna, Life Cat Pouch - Kitten Chicken","Makanan, Makanan, Makanan","10, 10, 6","20000, 4500, 25000","200000, 45000, 150000",Transfer
TX-20240515-003,2024-05-15,"Life Cat Can - Kitten Salmon, Frontline Plus Flea & Tick Treatment, Life Cat Pouch - Salmon Adult","Makanan, Obat Hewan, Makanan","1, 1, 4","4500, 13000, 20000","4500, 13000, 80000",QRIS
TX-20240527-001,2024-05-27,Kong Puppy Teething Stick,Mainan,5,30000,150000,Tunai
TX-20240407-001,2024-04-07,"Trixie Cat Tunnel, Life Cat Pouch - Chicken Adult, EzyDog Chest Plate Harness for Dogs","Mainan, Makanan, Aksesoris","8, 6, 3","13000, 4500, 25000","104000, 27000, 75000",Transfer
TX-20240718-001,2024-07-18,Life Cat Pouch - Chicken Tuna Adult,Makanan,5,20000,100000,QRIS
TX-20240514-001,2024-05-14,"Trixie Cat Tunnel, Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Kitten Salmon","Mainan, Obat Hewan, Makanan","9, 9, 9","4500, 25000, 30000","40500, 225000, 270000",Tunai
TX-20241017-002,2024-10-17,Kong Puppy Teething Stick,Mainan,4,4500,18000,QRIS
TX-20241020-001,2024-10-20,Frontline Plus Flea & Tick Treatment,Obat Hewan,5,25000,125000,QRIS
TX-20241116-001,2024-11-16,"Life Cat Can - Tuna, Rogz Utility Dog Leash - Medium","Makanan, Aksesoris","5, 10","25000, 13000","125000, 130000",Tunai
TX-20240526-001,2024-05-26,"Beaphar Ear Cleaner for Dogs & Cats, Life Cat Pouch Dus","Obat Hewan, Makanan","6, 10","13000, 30000","78000, 300000",QRIS
TX-20240108-001,2024-01-08,"Life Cat Can - Kitten Salmon, Life Cat Pouch - Chicken Adult","Makanan, Makanan","10, 9","25000, 13000","250000, 117000",QRIS
TX-20241012-001,2024-10-12,"Beaphar Ear Cleaner for Dogs & Cats, Trixie Cat Tunnel","Obat Hewan, Mainan","3, 10","13000, 13000","39000, 130000",QRIS
TX-20240629-001,2024-06-29,"Nutri-Vet Multivitamin Chewable, Life Cat Pouch - Kitten Chicken","Obat Hewan, Makanan","2, 4","30000, 12000","60000, 48000",QRIS
TX-20241122-001,2024-11-22,"Life Cat Pouch - Kitten Salmon, Life Cat Pouch Dus, Trixie Cat Laser Pointer","Makanan, Makanan, Mainan","2, 8, 10","25000, 4500, 20000","50000, 36000, 200000",QRIS
TX-20240918-001,2024-09-18,"Kong Puppy Teething Stick, Trixie Cat Tunnel","Mainan, Mainan","1, 1","20000, 25000","20000, 25000",QRIS
TX-20240619-001,2024-06-19,Drontal Cat Dewormer,Obat Hewan,2,12000,24000,Transfer
TX-20240718-002,2024-07-18,"Kong Classic Dog Chew Toy, Life Cat Pouch - Chicken Adult, Life Cat Can - Kitten Tuna","Mainan, Makanan, Makanan","2, 2, 4","13000, 4500, 13000","26000, 9000, 52000",Tunai
TX-20240218-002,2024-02-18,"Life Cat Can - Tuna, Life Cat Can - Chicken, Trixie Cat Laser Pointer","Makanan, Makanan, Mainan","6, 3, 5","20000, 13000, 12000","120000, 39000, 60000",Tunai
TX-20240817-001,2024-08-17,"Life Cat Tofu - Mango, Drontal Cat Dewormer","Makanan, Obat Hewan","10, 8","30000, 25000","300000, 200000",Transfer
TX-20240416-002,2024-04-16,"Frontline Plus Flea & Tick Treatment, Drontal Cat Dewormer","Obat Hewan, Obat Hewan","2, 8","30000, 30000","60000, 240000",Tunai
TX-20241028-001,2024-10-28,Life Cat Pouch - Chicken Tuna Adult,Makanan,2,13000,26000,QRIS
TX-20241012-002,2024-10-12,"Beaphar Ear Cleaner for Dogs & Cats, Trixie Cat Laser Pointer","Obat Hewan, Mainan","8, 2","30000, 20000","240000, 40000",Transfer
TX-20240815-002,2024-08-15,Life Cat Pouch - Chicken Adult,Makanan,4,25000,100000,Transfer
TX-20240930-001,2024-09-30,"Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Chicken Adult","Obat Hewan, Makanan","2, 5","12000, 13000","24000, 65000",QRIS
TX-20240504-001,2024-05-04,"Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Kitten Tuna","Obat Hewan, Makanan","5, 8","13000, 12000","65000, 96000",QRIS
TX-20241206-001,2024-12-06,Trixie Cat Tunnel,Mainan,5,12000,60000,QRIS
TX-20241022-001,2024-10-22,Drontal Cat Dewormer,Obat Hewan,8,13000,104000,QRIS
TX-20240115-001,2024-01-15,"Life Cat Tofu - Mango, Drontal Cat Dewormer","Makanan, Obat Hewan","8, 7","4500, 25000","36000, 175000",Tunai
TX-20240103-002,2024-01-03,"Life Cat Can - Tuna, Drontal Cat Dewormer, Seresto Flea and Tick Collar for Dogs","Makanan, Obat Hewan, Obat Hewan","1, 10, 5","25000, 13000, 4500","25000, 130000, 22500",Transfer
TX-20240406-002,2024-04-06,"Rogz Utility Dog Leash - Medium, Life Cat Can - Kitten Tuna, Life Cat Pouch - Salmon Adult","Aksesoris, Makanan, Makanan","6, 4, 5","4500, 30000, 13000","27000, 120000, 65000",Tunai
TX-20240703-001,2024-07-03,Life Cat Pouch - Chicken Tuna Adult,Makanan,4,4500,18000,Transfer
TX-20240618-001,2024-06-18,"Trixie Cat Tunnel, Rogz Utility Dog Leash - Medium, EzyDog Chest Plate Harness for Dogs","Mainan, Aksesoris, Aksesoris","9, 10, 1","30000, 12000, 20000","270000, 120000, 20000",QRIS
TX-20240413-001,2024-04-13,"Life Cat Can - Chicken, Life Cat Pouch - Salmon Adult","Makanan, Makanan","10, 8","25000, 12000","250000, 96000",QRIS
TX-20240622-001,2024-06-22,Life Cat Can - Kitten Tuna,Makanan,8,25000,200000,Tunai
TX-20240322-001,2024-03-22,EzyDog Chest Plate Harness for Dogs,Aksesoris,5,30000,150000,Tunai
TX-20241026-001,2024-10-26,Trixie Cat Tunnel,Mainan,7,25000,175000,Tunai
TX-20240628-002,2024-06-28,"Life Cat Pouch Dus, Trixie Cat Scratching Post, Life Cat Pouch - Kitten Salmon","Makanan, Mainan, Makanan","2, 5, 1","25000, 13000, 25000","50000, 65000, 25000",Tunai
TX-20240617-001,2024-06-17,"Beaphar Ear Cleaner for Dogs & Cats, Life Cat Tofu - Macha, Drontal Cat Dewormer","Obat Hewan, Makanan, Obat Hewan","4, 6, 2","12000, 30000, 4500","48000, 180000, 9000",QRIS
TX-20240425-001,2024-04-25,"Life Cat Can - Tuna, Kong Puppy Teething Stick, EzyDog Chest Plate Harness for Dogs","Makanan, Mainan, Aksesoris","8, 1, 2","25000, 4500, 4500","200000, 4500, 9000",Transfer
TX-20240212-001,2024-02-12,"Life Cat Tofu - Mango, Kong Puppy Teething Stick","Makanan, Mainan","9, 2","25000, 4500","225000, 9000",QRIS
TX-20240830-001,2024-08-30,Life Cat Pouch Dus,Makanan,4,25000,100000,QRIS
TX-20240417-002,2024-04-17,"Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Chicken Adult","Obat Hewan, Makanan","8, 4","30000, 4500","240000, 18000",Transfer
TX-20240229-001,2024-02-29,Life Cat Pouch - Chicken Adult,Makanan,4,25000,100000,Tunai
TX-20240317-001,2024-03-17,"Life Cat Pouch - Chicken Tuna Adult, Life Cat Can - Kitten Tuna","Makanan, Makanan","1, 3","4500, 30000","4500, 90000",Transfer
TX-20240213-001,2024-02-13,Trixie Cat Tunnel,Mainan,8,12000,96000,Tunai
TX-20240627-001,2024-06-27,"Life Cat Pouch - Kitten Salmon, Life Cat Tofu - Mango, Life Cat Tofu - Macha","Makanan, Makanan, Makanan","9, 2, 10","25000, 30000, 12000","225000, 60000, 120000",Tunai
TX-20240413-002,2024-04-13,EzyDog Chest Plate Harness for Dogs,Aksesoris,1,20000,20000,QRIS
TX-20240830-002,2024-08-30,Life Cat Can - Kitten Tuna,Makanan,8,25000,200000,QRIS
TX-20240924-001,2024-09-24,"Life Cat Can - Chicken, Nutri-Vet Multivitamin Chewable, Drontal Cat Dewormer","Makanan, Obat Hewan, Obat Hewan","9, 5, 6","4500, 20000, 12000","40500, 100000, 72000",QRIS
TX-20240123-002,2024-01-23,"Kong Classic Dog Chew Toy, EzyDog Chest Plate Harness for Dogs","Mainan, Aksesoris","5, 8","20000, 25000","100000, 200000",QRIS
TX-20241107-001,2024-11-07,"Frontline Plus Flea & Tick Treatment, Life Cat Pouch Dus, Life Cat Pouch - Kitten Tuna","Obat Hewan, Makanan, Makanan","1, 5, 3","30000, 20000, 13000","30000, 100000, 39000",Tunai
TX-20241023-002,2024-10-23,"Nutri-Vet Multivitamin Chewable, Life Cat Can - Tuna, Rogz Utility Dog Leash - Medium","Obat Hewan, Makanan, Aksesoris","3, 6, 10","25000, 12000, 13000","75000, 72000, 130000",Tunai
TX-20240308-001,2024-03-08,Trixie Cat Tunnel,Mainan,9,30000,270000,Tunai
TX-20241008-002,2024-10-08,Frontline Plus Flea & Tick Treatment,Obat Hewan,9,4500,40500,QRIS
TX-20240907-001,2024-09-07,"Life Cat Can - Tuna, Life Cat Can - Kitten Salmon","Makanan, Makanan","3, 4","13000, 12000","39000, 48000",Transfer
TX-20240624-001,2024-06-24,"Life Cat Can - Chicken, EzyDog Chest Plate Harness for Dogs, Drontal Cat Dewormer","Makanan, Aksesoris, Obat Hewan","6, 9, 10","30000, 20000, 13000","180000, 180000, 130000",Tunai
TX-20240520-001,2024-05-20,Trixie Cat Scratching Post,Mainan,7,13000,91000,Transfer
TX-20240320-001,2024-03-20,"Life Cat Pouch Dus, Life Cat Pouch - Chicken Adult","Makanan, Makanan","7, 10","13000, 30000","91000, 300000",Tunai
TX-20240330-001,2024-03-30,"EzyDog Chest Plate Harness for Dogs, Life Cat Can - Kitten Tuna","Aksesoris, Makanan","1, 9","20000, 4500","20000, 40500",Tunai
TX-20241002-001,2024-10-02,Life Cat Pouch - Kitten Tuna,Makanan,2,4500,9000,Tunai
TX-20240411-001,2024-04-11,Trixie Cat Laser Pointer,Mainan,9,13000,117000,Tunai
TX-20240215-002,2024-02-15,"Life Cat Pouch Dus, Frontline Plus Flea & Tick Treatment, Drontal Cat Dewormer","Makanan, Obat Hewan, Obat Hewan","1, 10, 2","12000, 20000, 20000","12000, 200000, 40000",QRIS
TX-20240522-001,2024-05-22,Life Cat Pouch - Chicken Tuna Adult,Makanan,5,13000,65000,Transfer
TX-20240420-001,2024-04-20,"Seresto Flea and Tick Collar for Dogs, Life Cat Pouch - Chicken Tuna Adult, Life Cat Pouch - Chicken Adult","Obat Hewan, Makanan, Makanan","5, 6, 3","12000, 25000, 30000","60000, 150000, 90000",QRIS
TX-20241014-001,2024-10-14,"Life Cat Pouch Dus, Life Cat Pouch - Kitten Salmon","Makanan, Makanan","6, 10","13000, 4500","78000, 45000",Transfer
TX-20240923-001,2024-09-23,"Trixie Cat Laser Pointer, Life Cat Pouch - Kitten Chicken","Mainan, Makanan","9, 9","30000, 20000","270000, 180000",QRIS
TX-20240408-001,2024-04-08,"Kong Classic Dog Chew Toy, Life Cat Tofu - Mango","Mainan, Makanan","1, 9","30000, 30000","30000, 270000",Tunai
TX-20241021-001,2024-10-21,Life Cat Pouch - Kitten Chicken,Makanan,1,12000,12000,QRIS
TX-20240301-001,2024-03-01,"Kong Classic Dog Chew Toy, Life Cat Tofu - Mango, Nutri-Vet Multivitamin Chewable","Mainan, Makanan, Obat Hewan","8, 10, 7","20000, 25000, 30000","160000, 250000, 210000",Tunai
TX-20240831-001,2024-08-31,"Life Cat Pouch - Salmon Adult, Life Cat Pouch - Kitten Tuna, Trixie Cat Scratching Post","Makanan, Makanan, Mainan","1, 8, 7","20000, 30000, 20000","20000, 240000, 140000",QRIS
TX-20240729-001,2024-07-29,"Life Cat Tofu - Mango, Life Cat Pouch - Salmon Adult","Makanan, Makanan","6, 7","30000, 13000","180000, 91000",Transfer
TX-20240219-001,2024-02-19,"Life Cat Pouch - Kitten Salmon, Life Cat Can - Kitten Tuna","Makanan, Makanan","7, 1","20000, 30000","140000, 30000",QRIS
TX-20240922-001,2024-09-22,"Kong Classic Dog Chew Toy, Seresto Flea and Tick Collar for Dogs","Mainan, Obat Hewan","7, 4","25000, 20000","175000, 80000",Transfer
TX-20240228-001,2024-02-28,"Life Cat Can - Kitten Tuna, Frontline Plus Flea & Tick Treatment","Makanan, Obat Hewan","1, 8","20000, 12000","20000, 96000",QRIS
TX-20240405-001,2024-04-05,"Beaphar Ear Cleaner for Dogs & Cats, Frontline Plus Flea & Tick Treatment, Drontal Cat Dewormer","Obat Hewan, Obat Hewan, Obat Hewan","5, 1, 7","25000, 12000, 20000","125000, 12000, 140000",QRIS
TX-20241026-002,2024-10-26,"Seresto Flea and Tick Collar for Dogs, Life Cat Tofu - Macha","Obat Hewan, Makanan","1, 6","25000, 4500","25000, 27000",QRIS
TX-20241020-002,2024-10-20,"Trixie Cat Tunnel, Life Cat Pouch - Kitten Salmon, Kong Classic Dog Chew Toy","Mainan, Makanan, Mainan","3, 5, 4","4500, 13000, 25000","13500, 65000, 100000",Tunai
TX-20240812-001,2024-08-12,Frontline Plus Flea & Tick Treatment,Obat Hewan,10,12000,120000,Transfer
TX-20240726-002,2024-07-26,"Seresto Flea and Tick Collar for Dogs, Life Cat Tofu - Mango","Obat Hewan, Makanan","6, 4","4500, 20000","27000, 80000",Transfer
TX-20240529-001,2024-05-29,"Trixie Cat Tunnel, Life Cat Pouch - Salmon Adult, Drontal Cat Dewormer","Mainan, Makanan, Obat Hewan","10, 8, 3","20000, 20000, 30000","200000, 160000, 90000",QRIS
TX-20240417-003,2024-04-17,"Drontal Cat Dewormer, Life Cat Pouch Dus","Obat Hewan, Makanan","2, 10","13000, 13000","26000, 130000",Transfer
TX-20240305-001,2024-03-05,"Frontline Plus Flea & Tick Treatment, Beaphar Ear Cleaner for Dogs & Cats, Life Cat Pouch - Kitten Tuna","Obat Hewan, Obat Hewan, Makanan","3, 10, 9","25000, 12000, 13000","75000, 120000, 117000",Tunai
TX-20240910-001,2024-09-10,Life Cat Can - Kitten Salmon,Makanan,1,13000,13000,QRIS
TX-20240807-001,2024-08-07,Nutri-Vet Multivitamin Chewable,Obat Hewan,9,4500,40500,Tunai
TX-20240331-001,2024-03-31,Life Cat Can - Kitten Salmon,Makanan,8,25000,200000,QRIS
TX-20240930-002,2024-09-30,"Trixie Cat Laser Pointer, Life Cat Can - Chicken, Nutri-Vet Multivitamin Chewable","Mainan, Makanan, Obat Hewan","7, 7, 6","12000, 12000, 30000","84000, 84000, 180000",Tunai
TX-20241209-001,2024-12-09,"Life Cat Pouch - Salmon Adult, Life Cat Pouch - Kitten Salmon","Makanan, Makanan","7, 2","4500, 12000","31500, 24000",Tunai
TX-20240402-001,2024-04-02,"Beaphar Ear Cleaner for Dogs & Cats, Seresto Flea and Tick Collar for Dogs, Trixie Cat Scratching Post","Obat Hewan, Obat Hewan, Mainan","3, 2, 9","4500, 12000, 25000","13500, 24000, 225000",QRIS
TX-20240603-001,2024-06-03,Beaphar Ear Cleaner for Dogs & Cats,Obat Hewan,6,13000,78000,Tunai
TX-20240307-001,2024-03-07,"Rogz Utility Dog Leash - Medium, Trixie Cat Scratching Post, Nutri-Vet Multivitamin Chewable","Aksesoris, Mainan, Obat Hewan","7, 3, 4","4500, 30000, 12000","31500, 90000, 48000",QRIS
TX-20241201-001,2024-12-01,"Kong Classic Dog Chew Toy, Life Cat Pouch - Chicken Adult, Kong Puppy Teething Stick","Mainan, Makanan, Mainan","1, 9, 7","25000, 25000, 4500","25000, 225000, 31500",Tunai
TX-20240616-001,2024-06-16,"Trixie Cat Scratching Post, Kong Puppy Teething Stick, Life Cat Can - Kitten Tuna","Mainan, Mainan, Makanan","10, 6, 2","30000, 25000, 13000","300000, 150000, 26000",Transfer
TX-20240720-001,2024-07-20,"Life Cat Tofu - Macha, Trixie Cat Laser Pointer","Makanan, Mainan","5, 9","4500, 12000","22500, 108000",Tunai
TX-20241101-001,2024-11-01,"Life Cat Can - Tuna, Kong Puppy Teething Stick","Makanan, Mainan","1, 9","12000, 4500","12000, 40500",Tunai
TX-20240607-001,2024-06-07,Life Cat Pouch - Chicken Tuna Adult,Makanan,9,12000,108000,QRIS
TX-20240507-001,2024-05-07,Life Cat Tofu - Mango,Makanan,8,20000,160000,Transfer
TX-20240127-001,2024-01-27,"Nutri-Vet Multivitamin Chewable, Beaphar Ear Cleaner for Dogs & Cats","Obat Hewan, Obat Hewan","8, 8","12000, 20000","96000, 160000",QRIS
TX-20240713-001,2024-07-13,Life Cat Can - Tuna,Makanan,4,25000,100000,QRIS
TX-20240817-002,2024-08-17,"Life Cat Pouch - Salmon Adult, Drontal Cat Dewormer, Life Cat Can - Chicken","Makanan, Obat Hewan, Makanan","7, 4, 4","20000, 20000, 4500","140000, 80000, 18000",QRIS
TX-20240320-002,2024-03-20,Trixie Cat Tunnel,Mainan,9,12000,108000,Tunai
TX-20241101-002,2024-11-01,"EzyDog Chest Plate Harness for Dogs, Life Cat Pouch - Salmon Adult, Life Cat Can - Chicken","Aksesoris, Makanan, Makanan","5, 7, 7","25000, 4500, 25000","125000, 31500, 175000",Tunai
TX-20240107-001,2024-01-07,Life Cat Pouch - Chicken Adult,Makanan,2,30000,60000,Tunai
TX-20240724-001,2024-07-24,Life Cat Pouch - Chicken Tuna Adult,Makanan,10,4500,45000,QRIS
TX-20240224-001,2024-02-24,Life Cat Pouch - Kitten Chicken,Makanan,9,25000,225000,QRIS
