id_transaksi,tanggal_transaksi,jumlah_terjual,produk1,kategori1,harga1,produk2,kategori2,harga2,produk3,kategori3,harga3,produk4,kategori4,harga4,total_harga,metode_pembayaran
rL5RiOxD,2024-12-01,2,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Tofu - Macha,Makanan Kucing,55833,Mainan Anjing Kong,Mainan Anjing,20000.0,,,,131666,Debit Card
FzhKFWxR,2024-03-22,1,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000.0,Life Cat Can - Tuna,Makanan Kucing,11000.0,47500,Debit Card
XGrsjEGK,2024-07-31,1,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,Makanan Kucing Whiskas,Makanan Kucing,45000.0,88888,Cash
08Ll0aNb,2024-10-21,1,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,67833,Credit Card
HRB84asn,2024-09-30,2,Mainan Kucing ScratchPad,Mainan Kucing,25000,Makanan Anjing Purina,Makanan Anjing,50000,,,,,,,75000,Debit Card
cC4cm51c,2024-09-06,4,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,,,,23888,Cash
0gldvjsY,2024-07-30,1,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Tofu - Mango,Makanan Kucing,55833.0,,,,71268,Credit Card
MIq5fTZJ,2024-04-30,4,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Makanan Kucing Whiskas,Makanan Kucing,45000.0,,,,53935,Debit Card
u2UeVWBO,2024-09-09,3,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Tofu - Macha,Makanan Kucing,55833,,,,,,,67857,Cash
6jKcqFCu,2024-09-07,1,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch Dus,Makanan Kucing,108000,,,,,,,112453,Cash
Bpr2cK8k,2024-02-01,1,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,Makanan Anjing Purina,Makanan Anjing,50000.0,91435,Credit Card
9ybj8Nkr,2024-02-15,2,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,,,,,,,67833,Debit Card
vbAAIkWc,2024-02-23,4,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,45870,Debit Card
qoAP7luq,2024-04-06,3,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,,,,,,,8935,Cash
hpLvvMY6,2024-02-28,5,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Makanan Kucing Whiskas,Makanan Kucing,45000.0,182435,Debit Card
sQ2TxisL,2024-10-24,3,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,,,,66453,Debit Card
q6bDvRkJ,2024-01-31,1,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch Dus,Makanan Kucing,108000,,,,,,,112435,Cash
m0SL1pOi,2024-10-12,3,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Can - Tuna,Makanan Kucing,11000,,,,,,,61000,Debit Card
h8pJcTTk,2024-04-30,1,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,Makanan Ikan Gupi,Makanan Ikan,35000.0,48370,Cash
NkXL7qA8,2024-03-26,4,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Tofu - Macha,Makanan Kucing,55833.0,,,,87833,Credit Card
uTxv3UUR,2024-03-01,5,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch Dus,Makanan Kucing,108000.0,,,,132435,Cash
Ju2rJo2Y,2024-02-18,5,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,,,,,,,16524,Debit Card
yBoDllsB,2024-01-19,5,Mainan Kucing ScratchPad,Mainan Kucing,25000,Makanan Anjing Purina,Makanan Anjing,50000,,,,,,,75000,Credit Card
tOVZ3yYZ,2024-12-12,2,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Makanan Ikan Gupi,Makanan Ikan,35000.0,55888,Debit Card
mGC8f14S,2024-01-18,3,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Hiasan Aquarium,Aksesoris Ikan,15000,Mainan Anjing Kong,Mainan Anjing,20000.0,,,,47000,Cash
Ap9paqtu,2024-08-01,3,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Pouch Dus,Makanan Kucing,108000.0,,,,127435,Credit Card
VQwq6a8m,2024-08-21,2,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Can - Tuna,Makanan Kucing,11000,,,,,,,66833,Debit Card
l0ZPbgtG,2024-02-19,1,Life Cat Can - Tuna,Makanan Kucing,11000,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Mainan Anjing Kong,Mainan Anjing,20000.0,70435,Debit Card
pnrphOWY,2024-07-30,4,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Makanan Ikan Gupi,Makanan Ikan,35000,,,,,,,47024,Cash
2urHsbWE,2024-04-08,4,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,61459,Credit Card
cLOQQTgZ,2024-03-28,5,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,105833,Debit Card
8qqW6TDh,2024-04-25,1,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Makanan Kucing Whiskas,Makanan Kucing,45000,,,,,,,49500,Credit Card
iTz3ddsE,2024-11-18,3,Life Cat Can - Tuna,Makanan Kucing,11000,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,42459,Cash
gTw270QP,2024-05-20,4,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,,,,,,,112500,Credit Card
rC10sPwS,2024-12-27,3,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Can - Tuna,Makanan Kucing,11000.0,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,47524,Cash
f1IbgsNa,2024-07-15,2,Makanan Ikan Gupi,Makanan Ikan,35000,Mainan Anjing Kong,Mainan Anjing,20000,Makanan Anjing Purina,Makanan Anjing,50000.0,Life Cat Tofu - Mango,Makanan Kucing,55833.0,160833,Debit Card
IvszjrJp,2024-02-17,2,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Tuna,Makanan Kucing,11000.0,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,52459,Credit Card
aY5OJbxE,2024-12-18,3,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Mainan Anjing Kong,Mainan Anjing,20000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,40959,Cash
Ga2JwAMH,2024-09-09,3,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Makanan Kucing Whiskas,Makanan Kucing,45000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,65894,Debit Card
qWqQ21Yw,2024-12-21,3,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch Dus,Makanan Kucing,108000.0,,,,132024,Credit Card
KYAiKbml,2024-12-31,1,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,,,,,,,16435,Debit Card
uhLPolSF,2024-04-13,5,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Mainan Anjing Kong,Mainan Anjing,20000.0,,,,67024,Credit Card
taEYeSyE,2024-07-27,4,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,,,,,,,24000,Debit Card
4Fp6J66z,2024-02-03,4,Life Cat Tofu - Macha,Makanan Kucing,55833,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000.0,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500.0,79768,Debit Card
S0nb64Gd,2024-01-22,5,Life Cat Pouch Dus,Makanan Kucing,108000,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,,,,162435,Debit Card
qTZCwgNr,2024-06-15,3,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Mainan Anjing Kong,Mainan Anjing,20000.0,,,,36459,Cash
mWmglSHa,2024-06-17,3,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,,,,,,,16435,Cash
Ox7IEk5e,2024-01-02,3,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,60286,Cash
S3Afbqxs,2024-03-18,3,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Tofu - Macha,Makanan Kucing,55833,Makanan Kucing Whiskas,Makanan Kucing,45000.0,,,,156666,Debit Card
Enr9MJkK,2024-12-20,1,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,,,,33888,Cash
T7g3mkCu,2024-04-14,5,Makanan Kucing Whiskas,Makanan Kucing,45000,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,,,,69435,Debit Card
PQBkiKto,2024-03-03,4,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Makanan Anjing Purina,Makanan Anjing,50000.0,,,,69435,Cash
gWvg8Gvz,2024-07-15,4,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,Life Cat Tofu - Macha,Makanan Kucing,55833.0,166119,Credit Card
q3dpR4oC,2024-05-30,2,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Tofu - Mango,Makanan Kucing,55833,Makanan Anjing Purina,Makanan Anjing,50000.0,Hiasan Aquarium,Aksesoris Ikan,15000.0,155833,Cash
RIaA8BYD,2024-10-12,5,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Makanan Anjing Purina,Makanan Anjing,50000.0,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,70870,Cash
2ahmIpXz,2024-02-29,2,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Tofu - Macha,Makanan Kucing,55833,,,,,,,67857,Debit Card
CsEuUkJz,2024-11-13,4,Mainan Kucing ScratchPad,Mainan Kucing,25000,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000.0,Makanan Anjing Purina,Makanan Anjing,50000.0,94435,Debit Card
10r5fjOq,2024-02-12,3,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Tofu - Macha,Makanan Kucing,55833.0,,,,174833,Debit Card
zTLkmBnB,2024-05-12,4,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000.0,Makanan Anjing Purina,Makanan Anjing,50000.0,86024,Credit Card
dbk3dnor,2024-06-22,5,Makanan Anjing Purina,Makanan Anjing,50000,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,103888,Cash
i30yOFVB,2024-08-10,5,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,Life Cat Can - Tuna,Makanan Kucing,11000.0,83000,Debit Card
bZE5KnUE,2024-11-02,5,Makanan Ikan Gupi,Makanan Ikan,35000,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000.0,,,,155000,Cash
RoQY0v12,2024-06-25,1,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Can - Tuna,Makanan Kucing,11000.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,34870,Credit Card
5gzQAzSA,2024-02-15,2,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500.0,,,,20959,Cash
kTIwOc1e,2024-12-31,5,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Hiasan Aquarium,Aksesoris Ikan,15000,,,,,,,27000,Debit Card
9Oy0EBdT,2024-04-14,5,Life Cat Can - Tuna,Makanan Kucing,11000,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Tofu - Mango,Makanan Kucing,55833.0,Makanan Kucing Whiskas,Makanan Kucing,45000.0,126833,Cash
phxgD3fz,2024-08-17,5,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Tofu - Mango,Makanan Kucing,55833,Makanan Ikan Gupi,Makanan Ikan,35000.0,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,99768,Debit Card
Zz7FU3Fy,2024-07-15,4,Makanan Anjing Purina,Makanan Anjing,50000,Hiasan Aquarium,Aksesoris Ikan,15000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,77024,Debit Card
GZYXdaQq,2024-01-28,5,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500.0,,,,20935,Debit Card
nf8JCvhu,2024-01-23,2,Makanan Kucing Whiskas,Makanan Kucing,45000,Hiasan Aquarium,Aksesoris Ikan,15000,,,,,,,60000,Cash
WfCn22BO,2024-10-08,2,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,,,,,,,16435,Cash
qmzW7EiP,2024-01-16,3,Life Cat Can - Kitten Tuna,Makanan Kucing,12000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,,,,,,,16500,Credit Card
Mrfl4vx0,2024-07-15,5,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,60333,Cash
yBPDnMv8,2024-05-11,1,Life Cat Pouch - Chicken adult,Makanan Kucing,4435,Life Cat Can - Tuna,Makanan Kucing,11000,,,,,,,15435,Cash
o2LK6tm3,2024-09-17,2,Makanan Kucing Whiskas,Makanan Kucing,45000,Life Cat Can - Tuna,Makanan Kucing,11000,,,,,,,56000,Debit Card
EJf0cNR4,2024-12-12,4,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Tofu - Mango,Makanan Kucing,55833,,,,,,,105833,Cash
Tyyux6gA,2024-05-18,5,Life Cat Can - Kitten Salmon,Makanan Kucing,12024,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435.0,,,,20894,Credit Card
oIsQQtK7,2024-04-12,5,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435,Life Cat Tofu - Mango,Makanan Kucing,55833,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,,,,72292,Credit Card
NueGXDOv,2024-11-25,4,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Pouch Dus,Makanan Kucing,108000,,,,,,,119000,Debit Card
Ugy0639Q,2024-05-24,4,Life Cat Can - Tuna,Makanan Kucing,11000,Life Cat Can - Chicken & Salmon,Makanan Kucing,12000,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,Life Cat Pouch - Chicken adult,Makanan Kucing,4435.0,39459,Credit Card
WhxCE0qo,2024-01-22,1,Makanan Ikan Gupi,Makanan Ikan,35000,Makanan Anjing Purina,Makanan Anjing,50000,Life Cat Pouch - Salmon Adult,Makanan Kucing,4453.0,,,,89453,Debit Card
QDhGDJ1d,2024-06-30,2,Mainan Anjing Kong,Mainan Anjing,20000,Life Cat Pouch - Kitten Chicken,Makanan Kucing,4435,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,,,,28870,Debit Card
n0AXwqrI,2024-12-25,4,Life Cat Pouch Dus,Makanan Kucing,108000,Life Cat Pouch - Chicken Tuna Adult,Makanan Kucing,4500,Life Cat Can - Kitten Salmon,Makanan Kucing,12024.0,Life Cat Pouch - Kitten Tuna,Makanan Kucing,4435.0,128959,Debit Card
jynPhX4l,2024-02-12,3,Hiasan Aquarium,Aksesoris Ikan,15000,Makanan Kucing Whiskas,Makanan Kucing,45000,Mainan Kucing ScratchPad,Mainan Kucing,25000.0,,,,85000,Cash
mE7E6mf3,2024-07-27,5,Life Cat Tofu - Mango,Makanan Kucing,55833,Makanan Ikan Gupi,Makanan Ikan,35000,,,,,,,90833,Credit Card
